Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.253658	9.715668	75.0	8.0	19.253658	0.046977714	0.03338067	0.15949598	-0.04010337	4000	-1.8626451e-08	197.7944	-0.017248543	-23.512466	0.6826588	0.00984275	0.1595	79.0	0.2379302978515625
1	25.32258	14.873633	94.0	9.0	25.32258	1.1568522	0.09857634	1.6675861	0.6911273	8000	8.288771e-08	328.99847	-0.01285609	-43.230904	0.68926656	0.004176082	0.09475	79.0	0.45368242263793945
2	27.08904	13.386213	87.0	10.0	27.08904	2.7866235	0.29439905	3.7849982	1.1845617	12000	-4.377216e-08	265.30017	-0.011208628	-46.000008	0.6828239	0.005757979	0.04825	79.0	0.6707634925842285
3	36.083332	21.095078	104.0	9.0	36.083332	4.8136544	0.46031037	6.85832	2.0026138	16000	7.590279e-08	446.65134	-0.014061325	-85.58436	0.6696759	0.0074566435	0.04775	79.0	0.8854105472564697
4	44.411766	25.02248	156.0	11.0	44.411766	7.6975207	1.1464795	11.21839	1.3303362	20000	-9.313226e-08	565.46875	-0.011571635	-110.81133	0.6535306	0.0049002515	0.036000002	79.0	1.0980746746063232
5	65.81035	44.097248	232.0	13.0	65.81035	10.784338	1.7539684	13.758801	0.56907314	24000	-6.3329935e-08	969.1183	-0.01073525	-202.37614	0.642176	0.0028291016	0.03425	79.0	1.3093783855438232
6	96.051285	63.305912	321.0	16.0	96.051285	15.817629	0.69738704	17.717583	12.2304	28000	3.7252903e-08	1362.1758	-0.009242027	-253.63026	0.63500977	0.002129029	0.015	79.0	1.5216121673583984
7	116.77419	70.571724	391.0	21.0	116.77419	20.875813	0.41651446	21.855074	18.707998	32000	2.142042e-08	1316.776	-0.0062007285	-221.1143	0.62444603	0.00089346047	0.00975	79.0	1.7337477207183838
8	155.47826	31.596462	212.0	89.0	155.47826	25.304523	0.75800145	26.71253	20.913164	36000	1.322478e-07	1159.0098	-0.004325807	-199.33385	0.6153723	0.0014525944	0.01	79.0	1.9446065425872803
9	190.05556	67.80566	347.0	72.0	190.05556	29.502028	0.6504928	30.68677	25.870113	40000	-9.685755e-08	1494.0188	-0.0042519197	-248.35051	0.6148219	0.00537797	0.024500001	79.0	2.1558785438537598
