timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
1753038010.1377697,2025-07-20T15:00:10.137770,5.4,118.74343490600586,5.454853057861328,5.0,5.6,965.1875,0.0,0,0,0,0
1753038040.274659,2025-07-20T15:00:40.274659,5.7,118.31678771972656,5.875511169433594,0.6,5.6,1357.234375,6.5,2386430,2377638,259,253
1753038070.4083407,2025-07-20T15:01:10.408341,5.7,118.29920196533203,5.892189025878906,2.5,5.6,1382.45703125,1.6,834993,830598,259,250
1753038100.5547485,2025-07-20T15:01:40.554749,5.7,118.32410049438477,5.867927551269531,2.2,5.6,1382.45703125,0.3,36016,23168,111,96
