metric,min,max,mean,median,std,p95,p99
RSS,1096.38,1201.35,1165.14,1174.18,23.24,1187.26,1200.10
USS,562.18,657.88,622.43,631.02,22.23,643.97,656.67
PSS,833.40,929.75,894.13,902.92,22.38,915.82,928.55
VMS,14232.70,14318.92,14259.02,14256.21,16.64,14286.48,14318.92
