timestamp,interval_count,total_count,queue_size,max_queue_size,cpu_percent
2025-08-18T13:14:20.266299,0,816,1.0,10,5.1
2025-08-18T13:14:20.766913,0,816,1.0,10,0.6
2025-08-18T13:14:21.267492,0,816,1.0,10,0.6
2025-08-18T13:14:21.768072,0,816,1.0,10,1.5
2025-08-18T13:14:22.268745,0,816,1.0,10,0.5
2025-08-18T13:14:22.769309,0,816,1.0,10,0.5
2025-08-18T13:14:23.269878,0,816,1.0,10,2.1
2025-08-18T13:14:23.770402,0,816,1.0,10,0.6
2025-08-18T13:14:24.270898,0,816,1.0,10,2.3
2025-08-18T13:14:24.771430,0,816,1.0,10,0.8
2025-08-18T13:14:25.271994,0,816,1.0,10,2.8
2025-08-18T13:14:25.772569,0,816,1.0,10,2.0
2025-08-18T13:14:26.273102,0,816,1.0,10,0.8
2025-08-18T13:14:26.773637,0,816,1.0,10,0.8
2025-08-18T13:14:27.274045,0,816,1.0,10,1.7
2025-08-18T13:14:27.774905,0,816,1.0,10,1.1
2025-08-18T13:14:28.275537,0,816,1.0,10,1.3
2025-08-18T13:14:28.776317,0,816,1.0,10,1.2
2025-08-18T13:14:29.277243,0,816,1.0,10,0.9
2025-08-18T13:14:29.778194,0,816,1.0,10,0.8
2025-08-18T13:14:30.278737,0,816,1.0,10,2.8
2025-08-18T13:14:30.779551,0,816,1.0,10,0.9
2025-08-18T13:14:31.280050,0,816,1.0,10,0.9
2025-08-18T13:14:31.780577,0,816,1.0,10,1.5
2025-08-18T13:14:32.281154,0,816,1.0,10,2.9
2025-08-18T13:14:32.781724,0,816,1.0,10,0.3
2025-08-18T13:14:33.282232,0,816,1.0,10,0.4
2025-08-18T13:14:33.782820,0,816,1.0,10,0.4
2025-08-18T13:14:34.283398,0,816,1.0,10,0.3
2025-08-18T13:14:34.783895,0,816,1.0,10,0.4
2025-08-18T13:14:35.284401,0,816,1.0,10,0.3
2025-08-18T13:14:35.785002,0,816,1.0,10,0.9
2025-08-18T13:14:36.285684,0,816,1.0,10,0.4
2025-08-18T13:14:36.786253,0,816,1.0,10,3.5
2025-08-18T13:14:37.286799,0,816,1.0,10,0.4
2025-08-18T13:14:37.787362,0,816,1.0,10,3.8
2025-08-18T13:14:38.287911,0,816,1.0,10,1.5
2025-08-18T13:14:38.788436,0,816,1.0,10,0.6
2025-08-18T13:14:39.288973,0,816,1.0,10,0.8
2025-08-18T13:14:39.789573,0,816,1.0,10,1.9
2025-08-18T13:14:40.290246,0,816,1.0,10,2.1
2025-08-18T13:14:40.790878,0,816,1.0,10,1.5
2025-08-18T13:14:41.291423,0,816,1.0,10,1.4
2025-08-18T13:14:41.792053,0,816,1.0,10,1.3
2025-08-18T13:14:42.292771,0,816,1.0,10,3.4
2025-08-18T13:14:42.793373,0,816,1.0,10,2.3
2025-08-18T13:14:43.294065,0,816,1.0,10,1.9
2025-08-18T13:14:43.794389,0,816,1.0,10,4.8
2025-08-18T13:14:44.294923,0,816,1.0,10,4.8
2025-08-18T13:14:44.795659,0,816,1.0,10,1.5
