timestamp,interval_count,total_count,cpu_percent
2025-07-23T09:54:22.835742,6,6,0.0
2025-07-23T09:54:23.336117,5,11,84.3
2025-07-23T09:54:23.836437,9,20,78.7
2025-07-23T09:54:24.336728,16,36,67.5
2025-07-23T09:54:24.840701,28,64,71.2
2025-07-23T09:54:25.340924,32,96,68.5
2025-07-23T09:54:25.841276,35,131,66.7
2025-07-23T09:54:26.341577,34,165,66.5
2025-07-23T09:54:26.842014,36,201,66.4
2025-07-23T09:54:27.342373,27,228,67.5
2025-07-23T09:54:27.842952,28,256,67.7
2025-07-23T09:54:28.344806,36,292,66.1
2025-07-23T09:54:28.845133,35,327,66.6
2025-07-23T09:54:29.366243,28,355,66.0
2025-07-23T09:54:29.866672,51,406,66.5
2025-07-23T09:54:30.366994,36,442,65.6
2025-07-23T09:54:30.867430,40,482,66.3
2025-07-23T09:54:31.367755,38,520,66.3
2025-07-23T09:54:31.876369,36,556,66.2
2025-07-23T09:54:32.377578,32,588,66.5
2025-07-23T09:54:32.877848,24,612,65.9
2025-07-23T09:54:33.458025,16,628,65.1
2025-07-23T09:54:33.958253,66,694,67.6
2025-07-23T09:54:34.458514,39,733,66.3
2025-07-23T09:54:34.958789,37,770,66.0
2025-07-23T09:54:35.459104,37,807,71.5
2025-07-23T09:54:35.959864,37,844,66.0
2025-07-23T09:54:36.462328,34,878,65.8
2025-07-23T09:54:36.962606,39,917,66.6
2025-07-23T09:54:37.462922,26,943,68.1
2025-07-23T09:54:38.056907,17,960,66.9
2025-07-23T09:54:38.557171,57,1017,68.2
2025-07-23T09:54:39.060045,37,1054,66.3
2025-07-23T09:54:39.565820,38,1092,66.5
2025-07-23T09:54:40.066260,35,1127,66.2
2025-07-23T09:54:40.566616,26,1153,66.3
2025-07-23T09:54:41.066894,29,1182,69.7
2025-07-23T09:54:41.567253,36,1218,67.9
2025-07-23T09:54:42.067586,34,1252,67.1
2025-07-23T09:54:42.567859,27,1279,66.1
2025-07-23T09:54:43.068171,30,1309,68.8
2025-07-23T09:54:43.568470,39,1348,66.5
2025-07-23T09:54:44.180493,26,1374,65.3
2025-07-23T09:54:44.680933,59,1433,66.8
2025-07-23T09:54:45.183044,38,1471,65.7
2025-07-23T09:54:45.687202,38,1509,66.4
2025-07-23T09:54:46.187596,38,1547,66.5
2025-07-23T09:54:46.687825,34,1581,65.6
2025-07-23T09:54:47.191675,32,1613,63.4
2025-07-23T09:54:47.694822,24,1637,62.8
2025-07-23T09:54:48.195173,32,1669,60.8
2025-07-23T09:54:48.695496,30,1699,57.8
2025-07-23T09:54:49.195858,27,1726,47.3
2025-07-23T09:54:49.696220,20,1746,35.4
2025-07-23T09:54:50.197875,13,1759,25.9
2025-07-23T09:54:50.698182,9,1768,20.8
2025-07-23T09:54:51.198423,1,1769,8.2
