metric,min,max,mean,median,std,p95,p99
RSS,1097.42,1118.02,1116.23,1117.16,3.85,1117.65,1117.94
USS,561.18,575.20,573.95,574.57,2.71,575.13,575.19
PSS,832.81,846.83,845.58,846.20,2.71,846.76,846.82
VMS,14232.71,14234.61,14234.31,14234.49,0.51,14234.60,14234.61
