Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-4302.311197916667	3187.5017385616175	-217.0029	-11100.095	187.08333333333334	1.0	0.0	1.0	1.0	0.44335798100404444	-21.53211784362793	0.4158158600330353	0.0013945400714874268	79.0
2	-3990.1516927083335	3537.3562632753483	1019.6208	-11710.674	184.08333333333334	0.9991969029144857	0.0003976200163572599	1.0	0.999	0.1569145247781065	-14.701559066772461	0.19365498423576355	0.0006414651870727539	79.0
3	-3821.2884114583335	2687.5971920409997	32.60075	-10158.591	178.66666666666666	0.9989998479274156	1.7881393432617188e-07	0.999	0.999	-0.2203780097317293	-17.381303787231445	0.19027797877788544	0.0023717135190963745	79.0
4	-3557.4410807291665	3602.5496526765596	699.4459	-11964.254	177.66666666666666	0.9989999447228773	5.960464477539063e-08	0.999	0.999	-1.5897334260760614	-18.469865798950195	0.20909719169139862	0.01045556366443634	79.0
5	-4029.16015625	3701.064531545845	1368.2534	-14099.865	178.83333333333334	0.998999870035731	1.1920928955078125e-07	0.999	0.999	-11.08769293287254	-17.011444091796875	0.1492897868156433	0.029168814420700073	79.0
6	-4337.238932291667	3281.5181445991325	303.14117	-10717.84	185.16666666666666	0.9990000176753394	0.0	0.999	0.999	-43.99810520361991	-22.920764923095703	0.16696254909038544	0.029424026608467102	79.0
7	-3417.6038411458335	3189.3498815066787	2377.4263	-11161.745	189.33333333333334	0.9990001037057522	1.1920928955078125e-07	0.999	0.999	-75.9310080199115	-17.68113136291504	0.1284274011850357	0.012666448950767517	79.0
8	-3918.3343098958335	2924.8074580503016	519.4008	-10372.413	192.25	0.9990000340413944	0.0	0.999	0.999	-79.23422521786492	-19.5044002532959	0.0954388901591301	0.005244873464107513	79.0
9	-4102.66015625	3260.618550725205	-733.71106	-14527.453	183.91666666666666	0.999000080082574	5.960464477539063e-08	0.999	0.999	-80.50192910022778	-21.917274475097656	0.14890490472316742	0.027778372168540955	79.0
10	-3776.4446614583335	2822.055751870729	-332.06985	-8915.017	181.83333333333334	0.9990000360023041	0.0	0.999	0.999	-83.68301411290322	-23.448530197143555	0.15663981437683105	0.06022822856903076	79.0
11	-4573.017252604167	4763.661616865749	728.62994	-21023.096	191.83333333333334	0.9989999829421398	5.960464477539063e-08	0.999	0.999	-100.24367494541485	-27.42971420288086	0.13764642179012299	0.027824535965919495	79.0
12	-5142.873697916667	4188.917759994818	-384.63336	-13696.073	180.66666666666666	0.9989998840445269	1.1920928955078125e-07	0.999	0.999	-109.51967619434137	-29.09261703491211	0.27773046493530273	0.07226616144180298	79.0
13	-3742.8313802083335	3427.157617229376	386.53876	-13531.559	171.41666666666666	0.9989998591266809	1.7881393432617188e-07	0.999	0.999	-117.14708129584352	-31.957359313964844	0.2164781093597412	0.028639167547225952	79.0
14	-4294.930989583333	3159.605038608465	36.402885	-14319.115	197.08333333333334	0.9989999883791968	0.0	0.999	0.999	-103.57509695070124	-18.00341796875	0.1096082478761673	0.03815089166164398	79.0
15	-4340.86328125	3478.250709767771	-7.93008	-13164.794	184.41666666666666	0.9990000328330872	0.0	0.999	0.999	-82.7430642321672	-27.170095443725586	0.14434078335762024	0.05499975383281708	79.0
16	-3881.8326822916665	3840.748885308697	778.4562	-14597.141	180.08333333333334	0.9990000345364123	0.0	0.999	0.999	-100.36511895067473	-11.437599182128906	0.0865362361073494	0.05561652034521103	79.0
17	-3973.8629557291665	3024.3913988327195	344.96567	-11563.809	188.66666666666666	0.9990000208148313	0.0	0.999	0.999	-67.65359957815275	-23.694637298583984	0.20732256770133972	0.040610939264297485	79.0
18	-4494.721354166667	3618.401304443718	-150.83087	-13658.974	186.25	0.9989999349836932	5.960464477539063e-08	0.999	0.999	-82.98753092667566	-28.51746368408203	0.2239081710577011	0.20699159801006317	79.0
19	-3430.9807942708335	2639.7330673131833	66.99571	-9136.676	191.25	0.9989999110271572	1.1920928955078125e-07	0.999	0.999	-117.4150514673675	-22.699281692504883	0.18094603717327118	0.20051635801792145	79.0
20	-3061.9886067708335	2197.6586025434735	-192.07906	-8619.116	173.16666666666666	0.9989998033639884	2.384185791015625e-07	0.999	0.999	-63.10413389399806	-27.108322143554688	0.1513368785381317	0.04366740584373474	79.0
21	-3918.8079427083335	3187.4979738555653	609.56995	-12227.738	177.33333333333334	0.9989999003130907	1.1920928955078125e-07	0.999	0.999	-80.14630346172022	-37.092002868652344	0.18975847959518433	0.05505530536174774	79.0
22	-2907.8177083333335	3013.2817104722662	1197.8915	-11283.597	191.08333333333334	0.9989999974312254	0.0	0.999	0.999	-88.79772440815432	-27.201858520507812	0.10911938548088074	0.017052069306373596	79.0
23	-4285.671223958333	4148.9616371649745	606.0249	-14423.8545	177.25	0.9989998891843972	1.1920928955078125e-07	0.999	0.999	-133.54403073286053	-21.459674835205078	0.15382881462574005	0.05315452814102173	79.0
24	-4155.399739583333	3653.527975350218	-30.053768	-13945.405	180.33333333333334	0.9989999537131157	5.960464477539063e-08	0.999	0.999	-78.08533486291822	-31.393203735351562	0.3111414313316345	0.0882386863231659	79.0
25	-3752.3538411458335	4287.970460097255	975.07904	-14969.714	181.41666666666666	0.9989999819572748	5.960464477539063e-08	0.999	0.999	-96.57175952655889	-24.58490753173828	0.15090566873550415	0.05646032094955444	79.0
26	-4494.556315104167	4298.374886706215	544.00964	-13638.397	178.16666666666666	0.9989998961885583	1.1920928955078125e-07	0.999	0.999	-101.70650576199435	-23.532228469848633	0.15674251317977905	0.044889047741889954	79.0
27	-4470.098958333333	3429.9591834306134	-71.7574	-15705.945	195.5	0.9990000066945158	0.0	0.999	0.999	-89.68604059554413	-26.067649841308594	0.1517791748046875	0.03395800292491913	79.0
28	-3578.5530598958335	3698.213622818455	606.55963	-14532.625	184.58333333333334	0.9989999432591921	5.960464477539063e-08	0.999	0.999	-83.38527008624602	-19.458858489990234	0.12225233018398285	0.01297016441822052	79.0
29	-4672.018229166667	3144.053222619914	899.3889	-10898.437	192.33333333333334	0.9990000442345384	5.960464477539063e-08	0.999	0.999	-113.42659788763066	-17.42803955078125	0.18868540227413177	0.04089127480983734	79.0
30	-2741.7669270833335	2784.3106866871017	1355.5922	-8162.4517	181.25	0.9989999602693019	5.960464477539063e-08	0.999	0.999	-66.6938785829866	-31.38589096069336	0.1464787721633911	0.049616724252700806	79.0
31	-2779.7718098958335	2640.231429250095	1538.8339	-10116.472	176.5	0.9989999044767925	1.1920928955078125e-07	0.999	0.999	-95.72682217473884	-16.224567413330078	0.14425037801265717	0.07561759650707245	79.0
32	-2059.48828125	2006.1703151361137	398.14484	-7777.361	161.66666666666666	0.9989998845143931	1.1920928955078125e-07	0.999	0.999	-52.85059404175311	-22.35423469543457	0.18000049889087677	0.024410828948020935	79.0
33	-3669.806640625	2922.5831040365642	890.7048	-11016.431	197.16666666666666	0.9989999983405905	0.0	0.999	0.999	-69.77635806074767	-29.0573673248291	0.19926495850086212	0.08816312253475189	79.0
