process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_count,system_load_avg_1m
2025-07-18T16:52:33.100924,11182,python,102.0,7.29,0.2,90,2025-07-18T16:52:33.101133,0.0,32,0.43798828125
2025-07-18T16:52:33.601854,11182,python,107.7,7.81,0.22,90,2025-07-18T16:52:33.601909,4.6,32,0.43798828125
2025-07-18T16:52:34.102375,11182,python,107.9,8.33,0.24,90,2025-07-18T16:52:34.102569,5.1,32,0.43798828125
2025-07-18T16:52:34.603428,11182,python,103.8,8.84,0.25,90,2025-07-18T16:52:34.603535,4.6,32,0.43798828125
2025-07-18T16:52:35.104454,11182,python,103.8,9.35,0.26,90,2025-07-18T16:52:35.104574,4.6,32,0.43798828125
2025-07-18T16:52:35.605435,11182,python,107.8,9.87,0.28,90,2025-07-18T16:52:35.605525,4.6,32,0.43798828125
2025-07-18T16:52:36.106998,11182,python,105.7,10.39,0.29,90,2025-07-18T16:52:36.107082,4.1,32,0.43798828125
2025-07-18T16:52:36.608269,11182,python,105.7,10.91,0.3,90,2025-07-18T16:52:36.608335,4.4,32,0.4833984375
2025-07-18T16:52:37.109870,11182,python,103.7,11.42,0.31,90,2025-07-18T16:52:37.109937,4.7,32,0.4833984375
2025-07-18T16:52:37.610393,11182,python,105.9,11.94,0.32,90,2025-07-18T16:52:37.610448,4.6,32,0.4833984375
2025-07-18T16:52:38.111028,11182,python,107.9,12.46,0.34,90,2025-07-18T16:52:38.111087,4.3,32,0.4833984375
2025-07-18T16:52:38.612745,11182,python,105.7,12.97,0.36,90,2025-07-18T16:52:38.612866,4.8,32,0.4833984375
2025-07-18T16:52:39.113522,11182,python,109.8,13.5,0.38,90,2025-07-18T16:52:39.113586,5.2,32,0.4833984375
2025-07-18T16:52:39.614002,11182,python,103.9,14.01,0.39,90,2025-07-18T16:52:39.614211,4.3,32,0.4833984375
2025-07-18T16:52:40.122363,11182,python,106.9,14.53,0.41,90,2025-07-18T16:52:40.122716,12.7,32,0.4833984375
2025-07-18T16:52:40.623475,11182,python,105.1,15.04,0.43,90,2025-07-18T16:52:40.623566,6.8,32,0.4833984375
2025-07-18T16:52:41.124326,11182,python,107.8,15.57,0.44,90,2025-07-18T16:52:41.124404,7.0,32,0.4833984375
2025-07-18T16:52:41.625167,11182,python,105.8,16.08,0.46,90,2025-07-18T16:52:41.625241,7.1,32,0.60498046875
2025-07-18T16:52:42.125659,11182,python,95.9,16.55,0.47,90,2025-07-18T16:52:42.126072,6.3,32,0.60498046875
2025-07-18T16:52:42.626581,11182,python,107.8,17.07,0.49,90,2025-07-18T16:52:42.626631,4.4,32,0.60498046875
2025-07-18T16:52:43.127238,11182,python,105.9,17.59,0.5,90,2025-07-18T16:52:43.127327,4.8,32,0.60498046875
2025-07-18T16:52:43.628613,11182,python,105.7,18.11,0.51,90,2025-07-18T16:52:43.628678,4.8,32,0.60498046875
2025-07-18T16:52:44.129330,11182,python,105.8,18.62,0.53,90,2025-07-18T16:52:44.129393,4.6,32,0.60498046875
2025-07-18T16:52:44.630140,11182,python,109.8,19.15,0.55,90,2025-07-18T16:52:44.630239,4.8,32,0.60498046875
2025-07-18T16:52:45.131304,11182,python,105.8,19.66,0.57,90,2025-07-18T16:52:45.132005,4.5,32,0.60498046875
2025-07-18T16:52:45.633046,11182,python,107.6,20.18,0.59,90,2025-07-18T16:52:45.633473,4.9,32,0.60498046875
2025-07-18T16:52:46.134365,11182,python,105.6,20.7,0.6,90,2025-07-18T16:52:46.134744,4.2,32,0.60498046875
2025-07-18T16:52:46.636454,11182,python,107.5,21.22,0.62,90,2025-07-18T16:52:46.636519,4.8,32,0.796875
2025-07-18T16:52:47.138298,11182,python,105.6,21.74,0.63,90,2025-07-18T16:52:47.138362,4.5,32,0.796875
2025-07-18T16:52:47.639321,11182,python,105.8,22.25,0.65,90,2025-07-18T16:52:47.639374,4.6,32,0.796875
2025-07-18T16:52:48.139839,11182,python,107.8,22.76,0.68,90,2025-07-18T16:52:48.139906,4.6,32,0.796875
