timestamp,iteration,episode,episode_steps,reward,done,sjf_score,f1_score,episode_return,client_id,seed
2025-07-23T08:57:48.829486,0,0,256,-1336.731676681752,True,196.78075565656343,320.27992875745076,-1336.731676681752,client_5,5
2025-07-23T08:57:48.869690,0,0,256,-1663.2899081038422,True,467.70013248210927,418.1176775439964,-1663.2899081038422,client_2,2
2025-07-23T08:57:48.941274,1,0,256,-648.207429254877,True,227.5610442790935,231.21303315892433,-648.207429254877,client_4,4
2025-07-23T08:57:48.945417,0,0,256,-3349.1400616685905,True,336.3312839318107,196.97745354631584,-3349.1400616685905,client_3,3
2025-07-23T08:57:49.106810,2,0,256,-2137.039169645821,True,166.96971753379833,195.82724852679686,-2137.039169645821,client_4,4
2025-07-23T08:57:49.171178,1,0,256,-1053.7521786431867,True,254.6160829824498,254.97415460394024,-1053.7521786431867,client_3,3
2025-07-23T08:57:49.173179,1,0,256,-1361.8958882865697,True,153.9251665318546,153.70947332267184,-1361.8958882865697,client_1,1
2025-07-23T08:57:49.193987,1,0,256,-1080.1023196377566,True,296.80973437813293,294.49425690948544,-1080.1023196377566,client_2,2
2025-07-23T08:57:49.201938,1,0,256,-2977.1221694804162,True,622.545535368604,555.098283224818,-2977.1221694804162,client_5,5
2025-07-23T08:57:49.250648,0,0,256,-2538.8042336796966,True,140.2227987120157,85.83588230250287,-2538.8042336796966,client_6,6
2025-07-23T08:57:49.396583,3,0,256,-3202.3914466404804,True,264.8209189315391,201.54210231557812,-3202.3914466404804,client_4,4
2025-07-23T08:57:49.448606,2,0,256,-1205.6539728586765,True,232.5236424592102,283.7074348674655,-1205.6539728586765,client_5,5
2025-07-23T08:57:49.511346,2,0,256,-2170.5273310060193,True,218.16242657418675,153.80823113016947,-2170.5273310060193,client_2,2
2025-07-23T08:57:49.534627,4,0,256,-583.7170883944596,True,205.62323255538902,185.29486010068695,-583.7170883944596,client_4,4
2025-07-23T08:57:49.569641,2,0,256,-2663.891364270985,True,280.05419918978464,271.45050543271014,-2663.891364270985,client_3,3
2025-07-23T08:57:49.577051,2,0,256,-867.5440986177485,True,447.5153653456601,410.0489025980157,-867.5440986177485,client_1,1
2025-07-23T08:57:49.659948,1,0,256,-2310.414097208431,True,344.9438772208581,321.375054853106,-2310.414097208431,client_6,6
2025-07-23T08:57:49.721613,3,0,256,-956.5567266275464,True,186.32781792195613,309.1324023287052,-956.5567266275464,client_1,1
2025-07-23T08:57:49.806128,5,0,256,-2098.0149420528187,True,257.61238740275974,319.22079082453763,-2098.0149420528187,client_4,4
2025-07-23T08:57:49.818495,3,0,256,-3563.6882651133787,True,246.83815218657588,193.02424965495408,-3563.6882651133787,client_5,5
2025-07-23T08:57:49.883491,3,0,256,-2930.82637422541,True,227.10627079790987,191.90674717179317,-2930.82637422541,client_2,2
2025-07-23T08:57:49.885802,4,0,256,-1950.7413785964825,True,1217.527636928889,597.2711191449729,-1950.7413785964825,client_1,1
2025-07-23T08:57:49.892785,3,0,256,-1673.2199412674042,True,196.00981670897878,188.47840032214583,-1673.2199412674042,client_3,3
2025-07-23T08:57:49.952551,6,0,256,-2003.1420795073434,True,352.70540266470175,267.6711372936503,-2003.1420795073434,client_4,4
2025-07-23T08:57:50.023149,5,0,256,-1036.2703673666094,True,186.52340092848553,248.5847254796386,-1036.2703673666094,client_1,1
2025-07-23T08:57:50.035265,2,0,256,-1627.2951771180315,True,876.6601253956532,941.2195880298241,-1627.2951771180315,client_6,6
2025-07-23T08:57:50.049949,4,0,256,-1379.5112172055105,True,251.3621194669385,290.91939090034475,-1379.5112172055105,client_2,2
2025-07-23T08:57:50.072073,7,0,256,-396.82686350584737,True,359.8480589645063,311.3031902717082,-396.82686350584737,client_4,4
2025-07-23T08:57:50.107172,4,0,256,-247.43047311323411,True,123.6476549665802,124.55273048530321,-247.43047311323411,client_5,5
2025-07-23T08:57:50.120921,4,0,256,-2219.3504522540134,True,104.14185771597552,334.3057099953355,-2219.3504522540134,client_3,3
2025-07-23T08:57:50.151873,6,0,256,-752.9748870371147,True,389.6091661999973,393.1616185819183,-752.9748870371147,client_1,1
2025-07-23T08:57:50.235057,5,0,256,-2699.1209933918694,True,289.34886504640525,214.45865574519297,-2699.1209933918694,client_2,2
2025-07-23T08:57:50.318781,3,0,256,-3282.1314900513385,True,509.5900920324544,240.98522415700438,-3282.1314900513385,client_6,6
2025-07-23T08:57:50.336833,7,0,256,-2317.6598551519673,True,378.3514969492285,397.7762822016754,-2317.6598551519673,client_1,1
2025-07-23T08:57:50.409071,8,0,256,-1686.0025835915144,True,211.14159744845912,222.6668241617099,-1686.0025835915144,client_4,4
2025-07-23T08:57:50.441118,5,0,256,-1818.61982402237,True,800.5098217590308,811.1392019314596,-1818.61982402237,client_5,5
2025-07-23T08:57:50.486076,4,0,256,-1687.1421645618987,True,253.93902354154721,409.7853933167514,-1687.1421645618987,client_6,6
2025-07-23T08:57:50.556996,6,0,256,-2623.0581356490375,True,244.44398531789187,185.60285373867464,-2623.0581356490375,client_2,2
2025-07-23T08:57:50.562094,8,0,256,-1681.5780369249853,True,265.0433017479145,235.7826422725224,-1681.5780369249853,client_1,1
2025-07-23T08:57:50.608278,5,0,256,-2992.2325231848686,True,176.45528594721407,74.52257120828402,-2992.2325231848686,client_3,3
2025-07-23T08:57:50.663580,9,0,256,-4860.765034155961,True,227.63649351825808,336.72353041933405,-4860.765034155961,client_4,4
2025-07-23T08:57:50.676749,6,0,256,-2515.4626947654338,True,378.7040398747352,518.3366062694754,-2515.4626947654338,client_5,5
