process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_count,system_load_avg_1m
2025-07-18T16:35:17.791749,9642,python,0.0,7.28,0.22,90,2025-07-18T16:35:17.791829,0.0,32,0.9453125
2025-07-18T16:35:18.293317,9642,python,0.0,7.79,0.23,90,2025-07-18T16:35:18.293374,10.1,32,0.9453125
2025-07-18T16:35:18.793717,9642,python,0.0,8.32,0.24,90,2025-07-18T16:35:18.793817,7.1,32,0.9453125
2025-07-18T16:35:19.294315,9642,python,0.0,8.83,0.26,90,2025-07-18T16:35:19.294353,6.7,32,0.9453125
2025-07-18T16:35:19.795695,9642,python,0.0,9.34,0.27,90,2025-07-18T16:35:19.797309,8.6,32,0.9453125
2025-07-18T16:35:20.299664,9642,python,0.0,9.86,0.29,90,2025-07-18T16:35:20.302677,7.1,32,0.9453125
2025-07-18T16:35:20.803209,9642,python,0.0,10.38,0.3,90,2025-07-18T16:35:20.803269,6.9,32,0.9453125
2025-07-18T16:35:21.304216,9642,python,0.0,10.88,0.32,90,2025-07-18T16:35:21.304266,5.5,32,0.94970703125
2025-07-18T16:35:21.805166,9642,python,0.0,11.4,0.33,90,2025-07-18T16:35:21.805223,5.1,32,0.94970703125
2025-07-18T16:35:22.310939,9642,python,0.0,11.91,0.35,90,2025-07-18T16:35:22.311027,6.9,32,0.94970703125
2025-07-18T16:35:22.811856,9642,python,0.0,12.43,0.36,90,2025-07-18T16:35:22.811927,5.2,32,0.94970703125
2025-07-18T16:35:23.312916,9642,python,0.0,12.94,0.39,90,2025-07-18T16:35:23.312999,5.1,32,0.94970703125
2025-07-18T16:35:23.813383,9642,python,0.0,13.46,0.41,90,2025-07-18T16:35:23.813445,4.9,32,0.94970703125
2025-07-18T16:35:24.314209,9642,python,0.0,13.97,0.43,90,2025-07-18T16:35:24.314282,6.5,32,0.94970703125
2025-07-18T16:35:24.814983,9642,python,0.0,14.49,0.44,90,2025-07-18T16:35:24.815047,4.7,32,0.94970703125
2025-07-18T16:35:25.316119,9642,python,0.0,15.01,0.45,90,2025-07-18T16:35:25.316221,5.3,32,0.94970703125
2025-07-18T16:35:25.817083,9642,python,0.0,15.52,0.46,90,2025-07-18T16:35:25.817552,5.8,32,0.94970703125
2025-07-18T16:35:26.318591,9642,python,0.0,16.04,0.48,90,2025-07-18T16:35:26.318686,5.0,32,0.9541015625
2025-07-18T16:35:26.819643,9642,python,0.0,16.55,0.49,90,2025-07-18T16:35:26.819738,5.1,32,0.9541015625
2025-07-18T16:35:27.320886,9642,python,0.0,17.06,0.51,90,2025-07-18T16:35:27.321006,5.2,32,0.9541015625
2025-07-18T16:35:27.822602,9642,python,0.0,17.58,0.52,90,2025-07-18T16:35:27.824226,6.1,32,0.9541015625
2025-07-18T16:35:28.327084,9642,python,0.0,18.1,0.54,90,2025-07-18T16:35:28.328312,5.0,32,0.9541015625
2025-07-18T16:35:28.829322,9642,python,0.0,18.62,0.56,90,2025-07-18T16:35:28.829739,4.7,32,0.9541015625
2025-07-18T16:35:29.330530,9642,python,0.0,19.13,0.58,90,2025-07-18T16:35:29.331055,6.6,32,0.9541015625
2025-07-18T16:35:29.833199,9642,python,0.0,19.65,0.6,90,2025-07-18T16:35:29.833298,5.1,32,0.9541015625
2025-07-18T16:35:30.336228,9642,python,0.0,20.17,0.62,90,2025-07-18T16:35:30.336312,4.8,32,0.9541015625
2025-07-18T16:35:30.844622,9642,python,0.0,20.69,0.63,90,2025-07-18T16:35:30.844789,6.2,32,0.9541015625
2025-07-18T16:35:31.345886,9642,python,0.0,21.2,0.65,90,2025-07-18T16:35:31.345977,5.2,32,0.9580078125
2025-07-18T16:35:31.849922,9642,python,0.0,21.72,0.66,90,2025-07-18T16:35:31.850145,5.0,32,0.9580078125
