Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.873684	10.710784	61.0	8.0	20.873684	-0.074151136	0.053318538	0.2950213	-0.17997329	4000	1.0151416e-07	232.23502	-0.012717859	-13.986313	0.6906764	0.007797188	0.083000004	79.0	0.23386764526367188
1	26.489796	14.970432	114.0	9.0	26.489796	0.5716781	0.31277364	3.013511	0.28726745	8000	5.052425e-08	357.87112	-0.013548674	-33.41644	0.6851301	0.006960054	0.04575	79.0	0.4493837356567383
2	32.76033	18.351944	115.0	12.0	32.76033	1.7921863	0.76991314	6.6519356	1.0929637	12000	-2.9802322e-08	458.26892	-0.009613724	-67.209526	0.6720345	0.0040059853	0.020750001	79.0	0.6643855571746826
3	39.767677	22.174164	113.0	11.0	39.767677	4.2389784	1.5259987	12.983087	2.6546597	16000	6.146729e-08	536.15106	-0.0068781367	-102.49819	0.66383076	0.0036078393	0.009749999	79.0	0.8774807453155518
4	45.164707	24.903507	133.0	11.0	45.164707	7.476179	2.083902	19.823412	5.1436434	20000	4.0978193e-08	540.361	-0.008593937	-115.96044	0.6527052	0.0014818842	0.01325	79.0	1.090749979019165
5	54.069443	34.69363	188.0	13.0	54.069443	11.498717	2.502047	27.225916	8.420498	24000	1.6763806e-08	690.248	-0.010578267	-150.00514	0.6401251	0.0040272884	0.02125	79.0	1.3028805255889893
6	67.413795	37.82493	181.0	11.0	67.413795	17.867847	4.9446816	45.33382	12.071108	28000	9.313226e-08	657.46857	-0.008902524	-130.62152	0.6345536	0.0018361886	0.02025	79.0	1.5143325328826904
7	83.17391	46.38183	238.0	15.0	83.17391	23.103466	5.6658926	66.386795	16.223885	32000	-2.2351742e-08	734.32385	-0.006996084	-148.03471	0.62486017	0.0034677312	0.035	79.0	1.7253458499908447
8	87.51219	45.172363	179.0	17.0	87.51219	27.667225	5.1402836	57.656345	15.935711	36000	2.3748726e-08	712.636	-0.010563506	-144.78418	0.6236885	0.0047536176	0.028250001	79.0	1.9343845844268799
9	116.875	57.1384	230.0	15.0	116.875	33.612446	3.9766693	60.065845	24.214745	40000	2.6077032e-08	733.7445	-0.009259002	-142.39862	0.61774826	0.003424573	0.0205	79.0	2.1432275772094727
