Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.286407	9.63058	68.0	8.0	19.286407	0.09907153	0.061012723	0.23846737	-0.034486473	4000	1.899898e-07	196.89941	-0.015991274	-15.948538	0.68765616	0.007137394	0.090749994	79.0	0.22821402549743652
1	24.04878	15.113314	97.0	9.0	24.04878	0.886657	0.17713024	1.830933	0.63869554	8000	1.4156103e-07	334.10974	-0.010714402	-35.934013	0.6921566	0.001931124	0.018	79.0	0.4396655559539795
2	24.765823	14.743446	103.0	9.0	24.765823	2.389669	0.5331854	5.241322	1.6379726	12000	1.8626451e-09	297.97595	-0.011131082	-46.808567	0.68693984	0.0052317586	0.028499998	79.0	0.6519830226898193
3	31.024391	17.877844	96.0	10.0	31.024391	4.5377393	0.95498675	10.020362	2.626931	16000	-8.195639e-08	374.1439	-0.01314084	-75.93361	0.6750146	0.006717446	0.025	79.0	0.8626291751861572
4	38.509804	18.939917	91.0	12.0	38.509804	7.5413585	1.331124	15.203599	4.2595415	20000	-1.0244548e-07	352.92462	-0.011438334	-81.37246	0.66470575	0.003907334	0.024999999	79.0	1.0713844299316406
5	45.89412	30.359037	153.0	10.0	45.89412	11.463347	1.8664731	22.850101	5.120763	24000	3.7252903e-08	544.5925	-0.008845331	-115.90139	0.6516093	0.0036356137	0.0125	79.0	1.2801713943481445
6	57.96923	35.552765	169.0	13.0	57.96923	16.407791	2.7813764	31.141161	9.361439	28000	1.7229468e-08	590.791	-0.011294782	-135.74736	0.64473975	0.004743835	0.028	79.0	1.488525629043579
7	80.44898	50.9061	246.0	13.0	80.44898	22.81412	4.430869	50.274506	12.423022	32000	6.3329935e-08	803.35046	-0.008771099	-174.41995	0.6397902	0.0014182776	0.00975	79.0	1.6962733268737793
8	122.48387	68.82792	290.0	24.0	122.48387	28.76204	2.5936255	50.644157	21.99974	36000	3.0733645e-08	1032.9404	-0.007933646	-274.5914	0.63284236	0.0008627766	0.01825	79.0	1.9030396938323975
9	123.24138	59.301483	273.0	35.0	123.24138	37.41509	5.5632286	62.48247	19.356173	40000	-1.4901161e-08	742.48584	-0.0043084156	-127.49401	0.6214189	0.0006194725	0.0062500006	79.0	2.1104836463928223
