metric,min,max,mean,median,std,p95,p99
RSS,1095.82,1105.33,1104.02,1104.58,2.51,1105.33,1105.33
USS,569.20,570.94,570.35,570.41,0.53,570.90,570.93
PSS,836.55,838.29,837.70,837.77,0.53,838.26,838.29
VMS,14231.47,14233.47,14232.78,14232.47,0.63,14233.47,14233.47
