Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.551723	13.594503	127.0	9.0	22.551723	0.26226747	0.07325427	0.41372257	0.05973302	4000	-7.4505806e-08	308.9953	-0.01905353	-150.01686	0.6927589	0.008943997	0.12175	79.0	0.31355953216552734
1	27.767605	15.878795	122.0	9.0	27.767605	7.914565	0.116643995	8.040872	7.044552	8000	-5.2154064e-08	214.13474	-0.01527058	-61.307526	0.685152	0.004805994	0.049000002	79.0	0.6048765182495117
2	33.581196	20.086668	101.0	9.0	33.581196	13.325453	0.13876247	13.458109	11.755257	12000	-4.0978193e-08	229.42566	-0.015099339	-44.168007	0.6687809	0.015435132	0.118	14.0	0.8244633674621582
3	61.920635	38.71397	177.0	13.0	61.920635	17.317503	1.3650903	17.946749	-0.5144337	16000	-5.9604645e-08	603.0253	-0.014426516	-172.73276	0.6518258	0.004122589	0.049	79.0	1.1122426986694336
4	69.35714	53.518494	268.0	13.0	69.35714	25.129457	2.9168122	25.704021	-23.549192	20000	2.2351742e-08	678.022	-0.01437005	-107.57331	0.6320949	0.008040175	0.049000002	79.0	1.3991467952728271
5	99.68421	48.729168	247.0	11.0	99.68421	30.45458	4.3956943	31.731134	-14.870566	24000	-3.3527613e-08	566.27966	-0.011965634	-108.8656	0.6198045	0.0057610488	0.036250003	79.0	1.6849439144134521
6	137.1923	58.5314	273.0	23.0	137.1923	34.808277	7.313708	37.59476	-8.1867895	28000	2.7939677e-08	732.97485	-0.0075758565	-189.29564	0.6120588	0.015459295	0.17175	12.0	1.8977668285369873
7	140.96153	67.637886	320.0	14.0	140.96153	44.899616	0.49777865	44.9704	30.452583	32000	-2.4214387e-08	664.27856	-0.008794745	-146.34177	0.6094598	0.003721382	0.035	79.0	2.1822893619537354
8	191.75	52.374493	314.0	103.0	191.75	43.085278	9.150225	49.238644	8.80283	36000	-1.9557774e-08	517.8005	-0.0051525133	-196.36089	0.59372187	0.0029615588	0.007999999	79.0	2.4669036865234375
9	195.72223	72.45673	335.0	59.0	195.72223	49.36521	12.531453	56.05394	6.103479	40000	-2.7939677e-08	458.1313	-0.0075419936	-135.09312	0.5865669	0.0058672107	0.020750001	79.0	2.7529141902923584
