process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_count,system_load_avg_1m
2025-07-18T16:48:06.170156,10773,python,0.0,7.29,0.2,90,2025-07-18T16:48:06.170316,0.0,32,0.04296875
2025-07-18T16:48:06.672680,10773,python,0.0,7.8,0.23,90,2025-07-18T16:48:06.672769,4.6,32,0.11962890625
2025-07-18T16:48:07.173901,10773,python,0.0,8.32,0.24,90,2025-07-18T16:48:07.174292,6.5,32,0.11962890625
2025-07-18T16:48:07.675145,10773,python,0.0,8.84,0.25,90,2025-07-18T16:48:07.675637,5.0,32,0.11962890625
2025-07-18T16:48:08.177521,10773,python,0.0,9.35,0.27,90,2025-07-18T16:48:08.177583,5.2,32,0.11962890625
2025-07-18T16:48:08.679399,10773,python,0.0,9.87,0.28,90,2025-07-18T16:48:08.679459,5.1,32,0.11962890625
2025-07-18T16:48:09.181197,10773,python,0.0,10.38,0.3,90,2025-07-18T16:48:09.181232,7.2,32,0.11962890625
2025-07-18T16:48:09.681945,10773,python,0.0,10.9,0.32,90,2025-07-18T16:48:09.682001,5.2,32,0.11962890625
2025-07-18T16:48:10.182476,10773,python,0.0,11.42,0.33,90,2025-07-18T16:48:10.182556,12.2,32,0.11962890625
2025-07-18T16:48:10.684151,10773,python,0.0,11.93,0.35,90,2025-07-18T16:48:10.684228,7.3,32,0.11962890625
2025-07-18T16:48:11.184878,10773,python,0.0,12.45,0.37,90,2025-07-18T16:48:11.184941,8.9,32,0.11962890625
2025-07-18T16:48:11.685865,10773,python,0.0,12.97,0.39,90,2025-07-18T16:48:11.685923,7.4,32,0.2705078125
2025-07-18T16:48:12.186502,10773,python,0.0,13.46,0.4,90,2025-07-18T16:48:12.186556,5.8,32,0.2705078125
2025-07-18T16:48:12.688695,10773,python,0.0,13.97,0.42,90,2025-07-18T16:48:12.688950,4.6,32,0.2705078125
2025-07-18T16:48:13.189723,10773,python,0.0,14.49,0.43,90,2025-07-18T16:48:13.189818,6.6,32,0.2705078125
2025-07-18T16:48:13.691734,10773,python,0.0,15.01,0.45,90,2025-07-18T16:48:13.691772,5.0,32,0.2705078125
2025-07-18T16:48:14.192376,10773,python,0.0,15.52,0.46,90,2025-07-18T16:48:14.192437,4.9,32,0.2705078125
2025-07-18T16:48:14.694641,10773,python,0.0,16.04,0.47,90,2025-07-18T16:48:14.694783,4.5,32,0.2705078125
2025-07-18T16:48:15.196655,10773,python,0.0,16.56,0.49,90,2025-07-18T16:48:15.196722,6.4,32,0.2705078125
2025-07-18T16:48:15.697390,10773,python,0.0,17.08,0.5,90,2025-07-18T16:48:15.697826,5.1,32,0.2705078125
2025-07-18T16:48:16.198197,10773,python,0.0,17.6,0.52,90,2025-07-18T16:48:16.198248,4.8,32,0.2705078125
2025-07-18T16:48:16.699191,10773,python,0.0,18.11,0.54,90,2025-07-18T16:48:16.699251,4.7,32,0.4892578125
2025-07-18T16:48:17.212038,10773,python,0.0,18.63,0.55,90,2025-07-18T16:48:17.212127,6.2,32,0.4892578125
2025-07-18T16:48:17.721777,10773,python,0.0,19.17,0.57,90,2025-07-18T16:48:17.721879,5.0,32,0.4892578125
2025-07-18T16:48:18.222840,10773,python,0.0,19.69,0.58,90,2025-07-18T16:48:18.222917,6.8,32,0.4892578125
2025-07-18T16:48:18.723765,10773,python,0.0,20.21,0.6,90,2025-07-18T16:48:18.723804,4.7,32,0.4892578125
2025-07-18T16:48:19.224870,10773,python,0.0,20.73,0.61,90,2025-07-18T16:48:19.224928,4.9,32,0.4892578125
2025-07-18T16:48:19.727156,10773,python,0.0,21.24,0.63,90,2025-07-18T16:48:19.727248,5.9,32,0.4892578125
2025-07-18T16:48:20.230390,10773,python,0.0,21.76,0.64,90,2025-07-18T16:48:20.230556,5.0,32,0.4892578125
2025-07-18T16:48:20.732025,10773,python,0.0,22.28,0.66,90,2025-07-18T16:48:20.732131,4.9,32,0.4892578125
