timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
1752318829.216846,2025-07-12T07:13:49.216846,6.9,116.88011932373047,7.269130706787109,1.2,4.8,964.71484375,0.0,0,0,0,0
1752318859.3441024,2025-07-12T07:14:19.344102,10.0,112.91039276123047,11.24136734008789,69.0,4.8,3053.5,1260.4,3823924,3827773,313,330
1752318889.4793801,2025-07-12T07:14:49.479380,8.9,114.35296249389648,9.799217224121094,13.1,4.8,1820.43359375,1844.4,3101695,3105065,267,272
1752318919.6170096,2025-07-12T07:15:19.617010,11.2,111.43270874023438,12.719165802001953,51.6,4.8,3203.44921875,996.5,3947487,3945449,245,240
1752318949.7509613,2025-07-12T07:15:49.750961,7.9,115.62400436401367,8.528358459472656,22.9,4.8,1331.63671875,1141.2,4114310,4115974,253,252
