Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-2591.4147135416665	1163.094400009446	-825.2178	-5809.863	158.16666666666666	0.14004903330150617	0.2626080022723719	1.0	0.01	0.21935692116665562	-11.14654541015625	584.6929321289062	0.492919921875	79.0
2	-2228.435546875	1301.110166998424	-431.2567	-5364.7163	141.16666666666666	0.15582195558672712	0.2739106661903328	1.0	0.01	-0.2042599926380425	-18.212236404418945	1194.8133544921875	7.8795166015625	79.0
3	-2503.3990885416665	2114.320537036268	-67.50782	-10182.51	149.75	0.14740757875415791	0.2680558784730104	1.0	0.01	-2.165049320509454	-30.70161247253418	835.4332275390625	11.982421875	79.0
4	-2056.0354817708335	1167.215632748865	338.18442	-4508.3013	143.0	0.15393926056338028	0.2726341599568762	1.0	0.01	-12.123545472051056	-47.33582305908203	599.6857299804688	88.95538330078125	79.0
5	-2972.1744791666665	2746.5892788450674	-1069.243	-15624.297	147.25	0.14975641582086893	0.2697294250986228	1.0	0.01	-38.377639779202276	-118.67292785644531	2335.50146484375	543.6905517578125	79.0
6	-2297.0654296875	1061.3025016459728	-778.4626	-4914.136	140.5	0.15651882449643445	0.27437837491809464	1.0	0.01	-100.41888814217444	-241.89242553710938	2054.09619140625	223.4525146484375	79.0
7	-2077.62939453125	967.4304453895725	-435.873	-4143.4507	156.91666666666666	0.14109165307865112	0.26339924301527806	1.0	0.01	-217.02301576696954	-458.74066162109375	5914.92529296875	2513.416259765625	79.0
8	-2197.9288736979165	1026.2436357902543	-754.12897	-5775.3384	143.66666666666666	0.15326665717864704	0.272173489445866	1.0	0.01	-438.6175160630841	-536.4171752929688	4121.28369140625	696.83984375	79.0
9	-2003.7083333333333	858.8308913866571	-629.42773	-4213.377	148.16666666666666	0.14888589757485135	0.26911279221902606	1.0	0.01	-527.3621885617214	-811.1172485351562	4425.10888671875	1335.338134765625	79.0
10	-2254.5338541666665	1048.1913390852517	-540.07947	-4776.6245	150.08333333333334	0.14710032173613052	0.26783467674049133	1.0	0.01	-784.3464924538848	-993.0401611328125	13745.701171875	2075.3603515625	79.0
11	-1738.0149739583333	1063.8814156975704	726.06555	-4809.43	139.25	0.1578435731120969	0.27526046188709413	1.0	0.01	-986.9127486437613	-967.0695190429688	5800.84423828125	2298.56298828125	79.0
12	-2324.8828125	1135.0965450862172	-534.008	-5596.269	145.83333333333334	0.15112341561443648	0.27068926602211957	1.0	0.01	-967.1012658227849	-899.537109375	6201.857421875	5763.2783203125	79.0
13	-2234.177734375	1804.0473016710694	3949.963	-6566.798	154.08333333333334	0.14351795676225673	0.2652155970906892	1.0	0.01	-869.6002994011976	-1554.60791015625	20340.55859375	9962.087890625	79.0
14	-2468.9264322916665	1266.380932684422	-344.92368	-6072.048	152.08333333333334	0.1452854364798073	0.266517049986894	1.0	0.01	-1480.1748483177055	-1685.1829833984375	16402.087890625	1504.376953125	79.0
15	-2299.1061197916665	1935.7622960132958	-102.942955	-10593.737	150.33333333333334	0.14687081745692662	0.2676690894712123	1.0	0.01	-1686.3009207589287	-1218.047119140625	10545.056640625	25816.458984375	79.0
16	-2278.9884440104165	908.6111654607816	-288.53192	-4587.959	141.25	0.15573529919484366	0.27385231352971184	1.0	0.01	-1211.3132798573974	-1188.5927734375	7129.4609375	2006.654296875	79.0
17	-1754.8668619791667	727.2666292357982	155.7418	-3038.1316	141.33333333333334	0.1556487638423675	0.27379402603079867	1.0	0.01	-1185.921021377672	-1107.5264892578125	13682.544921875	9354.5	79.0
18	-2284.1155598958335	868.9430361076611	-906.7883	-4947.0254	154.66666666666666	0.14301111382672688	0.2648390483308886	1.0	0.01	-1092.5639913232103	-1094.0899658203125	10797.2119140625	7275.0107421875	79.0
19	-2544.2275390625	1762.0453077791917	-884.649	-9569.851	145.83333333333334	0.15112341561443648	0.2706892579136428	1.0	0.01	-1096.992663981588	-1206.202392578125	7620.0546875	38.27001953125	79.0
20	-2406.7330729166665	1458.248149893106	-411.48126	-7710.067	145.58333333333334	0.15136743375135087	0.2708595249120257	1.0	0.01	-1213.2270893371758	-1434.482177734375	6905.39990234375	1909.32275390625	79.0
21	-1877.484375	1086.857281339183	-134.74481	-4496.844	138.83333333333334	0.15829048940896123	0.27555595292109686	1.0	0.01	-1424.5649939540508	-1475.885498046875	9494.7177734375	5384.2275390625	79.0
22	-2041.0423177083333	671.9312650859462	-1111.8867	-4200.48	145.08333333333334	0.15185801041064198	0.27120080838054356	1.0	0.01	-1479.3095720069405	-1452.65966796875	5856.5322265625	2507.3994140625	79.0
23	-2881.0625	3209.219531287942	-923.4986	-17597.752	148.16666666666666	0.14888589757485135	0.26911279221902606	1.0	0.01	-1456.0099093997735	-1426.1890869140625	5258.8896484375	1628.984375	79.0
24	-2152.6922200520835	954.2066076065497	-470.34326	-5270.789	139.75	0.15731080201295045	0.2749068335391128	1.0	0.01	-1433.0036036036036	-1312.4921875	4020.897705078125	2250.605224609375	79.0
25	-2250.6142578125	1632.3526988164456	-595.35657	-8359.034	141.16666666666666	0.15582193744310158	0.2739106579104317	1.0	0.01	-1304.610285374554	-1229.94677734375	5082.24365234375	2391.64794921875	79.0
26	-2177.9444986979165	1024.8538107131833	-228.9896	-5134.547	150.75	0.14648997922970575	0.2673936526272402	1.0	0.01	-1220.0093210907066	-918.464599609375	4024.91015625	16329.880859375	79.0
27	-2339.6897786458335	1247.7554514674207	-264.34155	-6138.2417	145.0	0.1519400985152633	0.27125778520424615	1.0	0.01	-933.865089699074	-1113.462646484375	4710.73486328125	456.20458984375	79.0
28	-2300.0930989583335	1474.5757581984951	-573.2755	-6688.6133	148.66666666666666	0.1484156279208698	0.2687779115049389	1.0	0.01	-1094.2121896162528	-1266.140625	4907.50390625	377.1337890625	79.0
29	-2205.68505859375	1396.5275984860928	-844.7911	-8239.018	139.91666666666666	0.15713407611446462	0.2747891949674819	1.0	0.01	-1255.5574385122975	-1453.98388671875	4921.92041015625	268.8994140625	79.0
30	-2414.1790364583335	1039.1142462052317	-208.4554	-4735.4404	147.33333333333334	0.14967683344604213	0.26967321088276813	1.0	0.01	-1441.7196753986332	-1495.078125	9369.3603515625	2927.5244140625	79.0
31	-1975.4173177083333	929.275210401454	-176.61774	-3612.8555	132.75	0.1651375642085211	0.2799550673749899	1.0	0.01	-1492.4612586970272	-1361.6314697265625	3290.123046875	1488.5302734375	79.0
32	-2356.75439453125	831.1453442890319	-1051.0826	-4448.5923	146.91666666666666	0.15007567174226336	0.26995450778628977	1.0	0.01	-1366.4067675613935	-1450.953125	7200.96240234375	774.39306640625	79.0
33	-1892.9054361979167	874.2688373721209	-169.31854	-4057.871	143.75	0.15318301012136054	0.27211604113315835	1.0	0.01	-1445.1173380035027	-1760.8271484375	12179.9052734375	955.0400390625	79.0
34	-2317.234375	1195.1935687020186	-700.0378	-5567.899	154.33333333333334	0.14330028036366338	0.2650540589167947	1.0	0.01	-1747.8638586956522	-1737.832275390625	4992.19775390625	1563.51318359375	79.0
35	-2977.3863932291665	1844.2490793454842	-280.80444	-8775.327	160.0	0.13854953278035737	0.26145852175019524	1.0	0.01	-1728.6248689727463	-1487.968505859375	3486.631103515625	2208.648193359375	79.0
36	-2243.97216796875	1163.4731052614266	-734.69604	-6346.677	144.83333333333334	0.15210456008292295	0.2713718357702518	1.0	0.01	-1494.7775202780997	-1345.23388671875	5228.79150390625	8585.380859375	79.0
37	-2177.5247395833335	960.2645034919632	-532.04315	-4145.59	140.0	0.15704585379547925	0.2747304126804809	1.0	0.01	-1361.5539568345323	-1044.7734375	3070.2138671875	6169.6953125	79.0
38	-2052.3430989583335	1087.7139636258546	137.15076	-4850.8125	142.08333333333334	0.15487447379259267	0.2732706316734351	1.0	0.01	-1047.5850561134082	-1160.66015625	2919.234375	1405.3388671875	79.0
39	-2626.4192708333335	1298.7803252795807	-1099.4841	-6759.843	153.66666666666666	0.14388236832931053	0.2654853961525698	1.0	0.01	-1145.632096069869	-1113.599853515625	2085.64794921875	673.251953125	79.0
40	-2675.4895833333335	2177.620337279511	-88.21922	-12385.319	150.33333333333334	0.14687081745692662	0.2676690894712123	1.0	0.01	-1109.4292689732142	-1060.1107177734375	2042.5238037109375	912.9312744140625	79.0
41	-2254.7849934895835	914.7135252817318	-403.0736	-4939.957	148.25	0.1488073032726726	0.2690569167092625	1.0	0.01	-1056.5377758913412	-1511.89306640625	5261.1455078125	666.37939453125	79.0
42	-2466.0322265625	1003.7787770885243	-630.3343	-5718.2817	148.41666666666666	0.148650363988968	0.2689452242614457	1.0	0.01	-1478.2066139061617	-1622.0531005859375	3134.548583984375	1423.215576171875	79.0
43	-2465.4401041666665	1640.443232788017	-525.0373	-8437.764	154.16666666666666	0.1434453190086456	0.26516170859920984	1.0	0.01	-1624.348204570185	-1721.328125	3272.829833984375	128.076904296875	79.0
44	-2647.54296875	1910.254869557114	-689.3308	-10440.534	150.25	0.1469472334545994	0.2677242667866707	1.0	0.01	-1718.8394751535454	-1752.5625	3265.635498046875	3100.481689453125	79.0
45	-2141.5164388020835	1204.9479241859376	1362.3138	-4897.148	142.83333333333334	0.1541084083350929	0.2727496147478985	1.0	0.01	-1748.3607520564042	-1593.83740234375	5989.4462890625	2660.1787109375	79.0
46	-2170.2464192708335	1115.164038755435	-105.71583	-5372.7104	149.33333333333334	0.14779354481214887	0.2683330170754248	1.0	0.01	-1595.6199438202248	-1529.847412109375	1784.734130859375	1133.029052734375	79.0
47	-2092.5530598958335	1314.0372901862413	127.59552	-5287.2676	150.66666666666666	0.14656598743192337	0.26744869078903577	1.0	0.01	-1523.6327951002227	-1472.275634765625	2147.347900390625	430.773681640625	79.0
48	-2495.103515625	1597.4275674763264	-231.8422	-7075.177	146.91666666666666	0.15007567174226336	0.26995452392665403	1.0	0.01	-1467.7788406624786	-1336.6800537109375	1051.4344482421875	889.770751953125	79.0
49	-2809.5559895833335	2132.381923264842	-733.8591	-10099.6875	158.08333333333334	0.1401180358401028	0.262660577346019	1.0	0.01	-1342.3708222811672	-1422.127197265625	1203.0130615234375	55.4781494140625	79.0
50	-2439.5877278645835	1329.3571127929972	-770.68274	-6371.1895	147.83333333333334	0.14920118420673417	0.26933662709797995	1.0	0.01	-1419.933598183882	-1493.5263671875	1049.103759765625	362.234130859375	79.0
51	-2088.0592447916665	865.8521813797087	-495.37625	-4964.6914	143.66666666666666	0.15326665717864704	0.272173489445866	1.0	0.01	-1483.1858936915887	-1578.277587890625	2329.339599609375	297.5185546875	79.0
52	-2474.67236328125	1591.5625969467867	-1038.5801	-8258.994	152.58333333333334	0.1448391940057638	0.2661901626633242	1.0	0.01	-1573.4670148433206	-1548.660400390625	1204.2899169921875	250.0281982421875	79.0
53	-2830.5944010416665	1990.045728117824	-939.16486	-9972.093	149.75	0.14740756165747548	0.2680558784730104	1.0	0.01	-1547.356862745098	-1576.834716796875	1274.3541259765625	45.453369140625	79.0
54	-2305.7151692708335	1828.3783342988215	-242.08846	-9099.68	144.91666666666666	0.15202229935514078	0.27131480788414714	1.0	0.01	-1575.191951360741	-1867.399169921875	2033.4810791015625	231.6973876953125	79.0
55	-1926.6025390625	1102.990858227453	109.204834	-4051.3655	142.58333333333334	0.14060771149561782	0.27194375362680845	1.0	0.01	-1842.0716597998824	-1880.94921875	1542.42822265625	559.490966796875	79.0
56	-2272.748046875	1120.1440011593747	-197.24727	-6665.3228	145.08333333333334	0.15185801041064198	0.27120080024523346	1.0	0.01	-1876.4777327935224	-1806.2802734375	2428.746337890625	2093.122314453125	79.0
57	-2179.0397135416665	1184.7075588515504	-647.7242	-5331.7534	144.0	0.1529326894622305	0.2719438619214948	1.0	0.01	-1806.562062937063	-1562.376708984375	922.8810424804688	3293.489501953125	79.0
58	-2962.2513020833335	2326.690210005048	-684.7903	-10504.159	144.75	0.15218695156816123	0.271428925920421	1.0	0.01	-1573.2621739130434	-1546.9473876953125	658.6427612304688	27.088623046875	79.0
59	-2140.7740885416665	1287.555629866143	-498.4322	-5627.2734	146.75	0.15023583858745176	0.2700672393595386	1.0	0.01	-1547.5353058890794	-1771.8387451171875	1173.24609375	115.916015625	79.0
60	-2676.0460611979165	1228.913883611595	-1044.1433	-6023.813	145.41666666666666	0.15153057012541474	0.27097316326111015	1.0	0.01	-1759.620600115407	-1471.440185546875	706.4180908203125	794.7506103515625	79.0
61	-2706.2395833333335	1818.4460398923031	-497.12518	-10114.443	145.16666666666666	0.15177601720556358	0.27114385294467064	1.0	0.01	-1478.6778901734103	-1618.827392578125	1163.230712890625	1129.651611328125	79.0
62	-2146.0546875	745.3665205789699	-273.25867	-4056.0203	146.25	0.15071857953577703	0.27040608694845314	1.0	0.01	-1614.2174411933447	-1750.600341796875	1184.218994140625	189.255859375	79.0
63	-2034.6178385416667	857.6877831316787	-755.48175	-4649.9116	145.41666666666666	0.15153058773509628	0.2709731713844613	1.0	0.01	-1741.600115406809	-1465.3406982421875	661.7525634765625	258.61016845703125	79.0
64	-2458.88525390625	883.4011923620358	-1120.484	-4248.215	147.25	0.14975641582086893	0.2697294250986228	1.0	0.01	-1481.1279202279202	-1590.1895751953125	829.6799926757812	231.76800537109375	79.0
65	-2374.025390625	1342.277045421945	-760.81006	-7144.9507	152.58333333333334	0.1448391940057638	0.2661901626633242	1.0	0.01	-1585.2799615173171	-1535.1878662109375	1125.411376953125	165.2698974609375	79.0
66	-2448.1359049479165	1472.849166298663	-1005.6541	-8527.973	141.75	0.15521758798313537	0.2735029597648349	1.0	0.01	-1540.0868857312018	-2015.4827880859375	2091.85107421875	1523.94189453125	79.0
67	-2449.5338541666665	1656.6328299696747	-1082.6827	-10109.244	145.08333333333334	0.15185801041064198	0.27120079210992315	1.0	0.01	-2002.792943898207	-1974.79931640625	1157.8531494140625	940.5101318359375	79.0
68	-2017.1826171875	759.581573411748	-942.68555	-4461.429	141.83333333333334	0.15513164813701924	0.2734448303117192	1.0	0.01	-1975.93949704142	-1668.068115234375	693.310791015625	658.6541748046875	79.0
69	-2005.8173828125	929.4346848129422	400.08212	-3744.9526	148.91666666666666	0.1481816853268046	0.2686108686033463	1.0	0.01	-1683.3598591549296	-1545.1636962890625	877.1360473632812	3367.358154296875	79.0
