metric,min,max,mean,median,std,p95,p99
RSS,1099.04,1175.32,1159.83,1172.10,22.04,1175.32,1175.32
USS,562.95,633.12,618.08,630.12,21.29,633.09,633.12
PSS,833.79,904.24,889.16,901.23,21.36,904.21,904.23
VMS,14232.75,14254.57,14252.50,14254.15,4.92,14254.57,14254.57
