Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter
1	-213.253369140625	11.721231508097016	-201.72926	-235.00047	501.0	0.0	501.0	501.0	-0.3005106689453125	0.041125858657360286	-0.17081141	-0.36974084	-6.19888282926695e-08	1294.193359375	-0.006811664439737797	-21.26318359375	1.6138148307800293	-0.004124999977648258	0.13120000064373016	39.0
2	-12.630322265625	399.6081518187535	786.47833	-221.2751	501.0	0.0	501.0	501.0	-0.51752646484375	0.16590867878825877	-0.17081141	-0.7456292	-0.002226525219157338	18279.4140625	-0.0010918735060840845	-3.95703125	1.605215311050415	0.0037249999586492777	0.025599999353289604	39.0
3	189.7521484375	491.2470101690187	792.65625	-219.14075	501.0	0.0	501.0	501.0	-0.7100580078125	0.11059953816819298	-0.52358305	-0.91668296	-0.0004583807603921741	21706.8984375	-0.001889629173092544	-4.796875	1.6125743389129639	-0.001550000044517219	0.04520000144839287	39.0
4	394.26064453125	794.82847206174	1788.5487	-217.08856	501.0	0.0	501.0	501.0	-0.735127880859375	0.13673927859272403	-0.39555725	-0.96181166	0.0003164632653351873	53009.1953125	-0.0023256230633705854	-62.62890625	1.6045448780059814	-0.0001250000059371814	0.07760000228881836	39.0
5	208.7949462890625	497.1641328575504	817.9319	-212.49112	501.0	0.0	501.0	501.0	-0.3157223388671875	0.24690408501534686	-0.05665055	-0.96181166	0.0003778550017159432	35941.265625	-0.0015131233958527446	-67.02734375	1.6054400205612183	-0.0077749998308718204	0.15479999780654907	39.0
6	197.88433837890625	494.4460031186419	804.70514	-229.56812	501.0	0.0	501.0	501.0	0.43016572265625	0.3939023142901359	0.9513395	-0.28897992	0.0006273008184507489	36142.60546875	-0.004155472852289677	-142.6875	1.5922248363494873	0.015300000086426735	0.10080000013113022	13.0
7	812.51005859375	1551.517064037647	3818.627	-202.49574	501.0	0.0	501.0	501.0	2.388006640625	0.811811938226382	3.574781	0.4581252	-0.001976147061213851	122243.109375	-0.0023826502729207277	-1629.1796875	1.6064263582229614	0.005799999926239252	0.1632000058889389	39.0
8	609.19462890625	736.1777978178912	1771.4619	-194.63997	501.0	0.0	501.0	501.0	7.9191359375	3.1645935511136343	12.129028	1.6266952	-0.0002204601332778111	39008.9296875	0.0014646911295130849	-351.41015625	1.6092358827590942	-0.010174999944865704	0.11240000277757645	39.0
9	1809.41171875	642.618802245935	2830.4885	798.4864	501.0	0.0	501.0	501.0	13.7321921875	3.050565777441949	18.89579	5.5942183	7.930469291750342e-05	224830.3125	-0.0073570734821259975	-12518.53125	1.6017464399337769	0.004474999848753214	0.1656000018119812	39.0
10	996.6041015625	973.8017765438714	2792.6057	-181.77623	501.0	0.0	501.0	501.0	33.314603125	11.323890674145526	48.103004	9.577765	-0.0006509953527711332	123702.0	-0.0031768083572387695	-7832.0703125	1.5948407649993896	0.008299999870359898	0.17800000309944153	39.0
