Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.2266	9.4726925	75.0	9.0	19.2266	0.3220415	0.159911	0.56935847	-0.11857909	4000	-1.0803342e-07	195.91595	-0.017969787	-21.150991	0.68711317	0.011912764	0.18825	79.0	0.24310922622680664
1	23.502958	12.056634	87.0	9.0	23.502958	1.330966	0.10384354	1.5533826	0.85673714	8000	1.4714897e-07	246.73189	-0.0145339705	-35.24805	0.69254386	0.0068294685	0.096	79.0	0.4623558521270752
2	28.12143	15.283263	100.0	10.0	28.12143	2.8751855	0.23692833	3.3848915	1.7854944	12000	9.685755e-08	310.11102	-0.01378585	-55.732277	0.68315357	0.008006055	0.0555	79.0	0.6818971633911133
3	31.61111	18.037868	94.0	9.0	31.61111	5.1965194	0.28406462	5.9653764	4.2943163	16000	-7.0780516e-08	334.01782	-0.013032267	-64.72066	0.6677299	0.008619022	0.054250002	79.0	0.8979394435882568
4	43.954544	21.41681	97.0	12.0	43.954544	7.980932	0.53573376	9.359585	6.178031	20000	3.0733645e-08	434.3616	-0.010358935	-93.363235	0.65279114	0.003964387	0.023	79.0	1.1122760772705078
5	59.369232	37.809875	180.0	12.0	59.369232	11.362233	0.69408315	13.40139	9.156741	24000	-6.3329935e-08	779.0676	-0.011050437	-157.47107	0.643554	0.0023933703	0.0265	79.0	1.326019287109375
6	74.4	41.35263	189.0	13.0	74.4	15.903531	0.48520973	17.06652	13.655061	28000	-4.8428774e-08	803.33936	-0.009836915	-150.85782	0.6297803	0.0019532454	0.022750001	79.0	1.5394260883331299
7	104.88571	64.76805	284.0	20.0	104.88571	20.265278	0.7061189	21.877554	15.4577875	32000	4.4703484e-08	1205.1499	-0.007819979	-231.426	0.6243839	0.0022295834	0.02025	79.0	1.7536065578460693
8	139.46153	79.03759	437.0	30.0	139.46153	25.28803	1.1610458	27.601313	18.252548	36000	6.3329935e-08	1319.3177	-0.0075281495	-233.32738	0.6163629	0.0023833127	0.0112499995	79.0	1.9714162349700928
9	153.3	42.050087	229.0	51.0	153.3	30.001791	1.6428115	32.11075	20.998953	40000	6.519258e-08	1332.7998	-0.0049082516	-231.56949	0.61437136	0.004155611	0.016999999	79.0	2.184727191925049
