timestamp,steps_per_sec
2025-07-28T17:16:08.447689,231.1
2025-07-28T17:16:09.539957,232.7
2025-07-28T17:16:10.575206,237.4
2025-07-28T17:16:11.586061,241.2
2025-07-28T17:16:12.620454,242.4
2025-07-28T17:16:13.683465,242.1
2025-07-28T17:16:14.761113,241.5
2025-07-28T17:16:15.754682,243.4
2025-07-28T17:16:16.967715,239.3
2025-07-28T17:16:18.010485,239.9
2025-07-28T17:16:19.084186,239.8
2025-07-28T17:16:20.137191,240.1
2025-07-28T17:16:21.315503,238.1
2025-07-28T17:16:22.345879,238.8
2025-07-28T17:16:23.433177,238.6
2025-07-28T17:16:24.428535,239.7
2025-07-28T17:16:25.503201,239.6
2025-07-28T17:16:26.654590,238.6
2025-07-28T17:16:27.808229,237.6
2025-07-28T17:16:28.824899,238.3
2025-07-28T17:16:29.961533,237.6
2025-07-28T17:16:31.001286,238.0
2025-07-28T17:16:32.027539,238.5
2025-07-28T17:16:33.033443,239.1
2025-07-28T17:16:34.133928,238.9
2025-07-28T17:16:35.230400,238.6
2025-07-28T17:16:36.465424,237.3
2025-07-28T17:16:37.474147,237.9
2025-07-28T17:16:38.490677,238.3
2025-07-28T17:16:39.502700,238.8
2025-07-28T17:16:40.723727,237.7
2025-07-28T17:16:41.941504,236.8
2025-07-28T17:16:42.998788,236.9
2025-07-28T17:16:44.159392,236.4
2025-07-28T17:16:45.189056,236.7
2025-07-28T17:16:46.238465,236.9
2025-07-28T17:16:47.257743,237.3
2025-07-28T17:16:48.332074,237.3
2025-07-28T17:16:49.378213,237.5
2025-07-28T17:16:50.471725,237.4
2025-07-28T17:16:51.612195,237.1
2025-07-28T17:16:52.626135,237.4
2025-07-28T17:16:53.678604,237.6
2025-07-28T17:16:54.727169,237.7
2025-07-28T17:16:55.877334,237.3
2025-07-28T17:16:56.911000,237.6
2025-07-28T17:16:57.964514,237.7
2025-07-28T17:16:59.093918,237.4
2025-07-28T17:17:00.146899,237.5
2025-07-28T17:17:01.257276,237.4
2025-07-28T17:17:02.264669,237.7
2025-07-28T17:17:03.274830,238.0
2025-07-28T17:17:04.313408,238.1
2025-07-28T17:17:05.557174,237.5
2025-07-28T17:17:06.714701,237.1
2025-07-28T17:17:07.856337,236.9
2025-07-28T17:17:09.038111,236.5
2025-07-28T17:17:10.073750,236.7
2025-07-28T17:17:11.186000,236.6
2025-07-28T17:17:12.319017,236.4
2025-07-28T17:17:13.428628,236.3
2025-07-28T17:17:14.471496,236.4
2025-07-28T17:17:15.648025,236.1
2025-07-28T17:17:16.746757,236.1
2025-07-28T17:17:17.790182,236.2
2025-07-28T17:17:18.820633,236.4
2025-07-28T17:17:19.830376,236.6
2025-07-28T17:17:20.902464,236.6
2025-07-28T17:17:22.032676,236.5
2025-07-28T17:17:23.076262,236.6
2025-07-28T17:17:24.102553,236.8
2025-07-28T17:17:25.114043,237.0
2025-07-28T17:17:26.174923,237.1
2025-07-28T17:17:27.248164,237.1
2025-07-28T17:17:28.481172,236.6
2025-07-28T17:17:29.522341,236.7
2025-07-28T17:17:30.587770,236.8
2025-07-28T17:17:31.637095,236.9
2025-07-28T17:17:32.680524,237.0
2025-07-28T17:17:33.729565,237.1
2025-07-28T17:17:34.760733,237.2
2025-07-28T17:17:35.901592,237.0
2025-07-28T17:17:36.970060,237.1
2025-07-28T17:17:38.016536,237.2
2025-07-28T17:17:39.207003,236.9
2025-07-28T17:17:40.276725,236.9
2025-07-28T17:17:41.461525,236.6
2025-07-28T17:17:42.466570,236.8
2025-07-28T17:17:43.502186,236.9
2025-07-28T17:17:44.612463,236.9
2025-07-28T17:17:45.713279,236.8
2025-07-28T17:17:46.750915,236.9
2025-07-28T17:17:47.781199,237.0
2025-07-28T17:17:48.915127,236.9
2025-07-28T17:17:50.008354,236.9
2025-07-28T17:17:51.050755,237.0
2025-07-28T17:17:52.250715,236.7
2025-07-28T17:17:53.244300,236.9
2025-07-28T17:17:54.328470,236.9
2025-07-28T17:17:55.349553,237.0
