timestamp,steps_per_sec
2025-07-28T17:12:21.945031,2655.7
2025-07-28T17:12:22.035708,2736.9
2025-07-28T17:12:22.154062,2514.5
2025-07-28T17:12:22.241039,2609.5
2025-07-28T17:12:22.324361,2690.6
2025-07-28T17:12:22.427410,2653.9
2025-07-28T17:12:22.522814,2658.0
2025-07-28T17:12:22.598987,2729.4
2025-07-28T17:12:22.753995,2544.8
2025-07-28T17:12:22.845034,2569.2
2025-07-28T17:12:22.985392,2477.2
2025-07-28T17:12:23.061755,2532.3
2025-07-28T17:12:23.248749,2376.9
2025-07-28T17:12:23.402716,2306.2
2025-07-28T17:12:23.487534,2343.0
2025-07-28T17:12:23.561602,2391.2
2025-07-28T17:12:23.695709,2356.2
2025-07-28T17:12:23.780428,2385.3
2025-07-28T17:12:23.905195,2365.1
2025-07-28T17:12:23.984216,2397.5
2025-07-28T17:12:24.068651,2421.6
2025-07-28T17:12:24.161117,2435.5
2025-07-28T17:12:24.244004,2458.1
2025-07-28T17:12:24.321635,2484.4
2025-07-28T17:12:24.428602,2480.6
2025-07-28T17:12:24.593493,2424.9
2025-07-28T17:12:24.756204,2377.2
2025-07-28T17:12:24.830056,2404.2
2025-07-28T17:12:24.898795,2434.0
2025-07-28T17:12:24.972682,2458.3
2025-07-28T17:12:25.136340,2413.9
2025-07-28T17:12:25.316000,2362.6
2025-07-28T17:12:25.397481,2380.5
2025-07-28T17:12:25.475935,2399.6
2025-07-28T17:12:25.547933,2422.1
2025-07-28T17:12:25.685473,2402.0
2025-07-28T17:12:25.754459,2425.1
2025-07-28T17:12:25.910722,2394.8
2025-07-28T17:12:25.989838,2410.9
2025-07-28T17:12:26.087722,2415.6
2025-07-28T17:12:26.236759,2391.9
2025-07-28T17:12:26.309408,2410.3
2025-07-28T17:12:26.395143,2421.2
2025-07-28T17:12:26.468818,2438.0
2025-07-28T17:12:26.561205,2444.5
2025-07-28T17:12:26.637136,2459.2
2025-07-28T17:12:26.720951,2469.5
2025-07-28T17:12:26.822795,2470.4
2025-07-28T17:12:26.909357,2478.7
2025-07-28T17:12:26.994254,2487.6
2025-07-28T17:12:27.062425,2504.1
2025-07-28T17:12:27.147812,2512.1
2025-07-28T17:12:27.223492,2524.3
2025-07-28T17:12:27.400442,2490.0
2025-07-28T17:12:27.554785,2467.5
2025-07-28T17:12:27.692721,2453.1
2025-07-28T17:12:27.784862,2458.1
2025-07-28T17:12:27.856896,2471.3
2025-07-28T17:12:27.943716,2478.1
2025-07-28T17:12:28.081295,2464.4
2025-07-28T17:12:28.165049,2472.3
2025-07-28T17:12:28.237386,2484.4
2025-07-28T17:12:28.319738,2492.3
2025-07-28T17:12:28.404431,2499.2
2025-07-28T17:12:28.480042,2509.3
2025-07-28T17:12:28.551978,2520.5
2025-07-28T17:12:28.629543,2529.5
2025-07-28T17:12:28.714730,2535.4
2025-07-28T17:12:28.805795,2539.0
2025-07-28T17:12:28.889310,2545.2
2025-07-28T17:12:28.970131,2552.3
2025-07-28T17:12:29.041447,2562.6
2025-07-28T17:12:29.148459,2560.1
2025-07-28T17:12:29.229972,2566.5
2025-07-28T17:12:29.351820,2558.9
2025-07-28T17:12:29.423625,2568.5
2025-07-28T17:12:29.517728,2570.3
2025-07-28T17:12:29.598913,2576.4
2025-07-28T17:12:29.674408,2584.3
2025-07-28T17:12:29.754291,2590.5
2025-07-28T17:12:29.830963,2597.7
2025-07-28T17:12:29.917224,2601.7
2025-07-28T17:12:29.996068,2607.9
2025-07-28T17:12:30.076295,2613.6
2025-07-28T17:12:30.230473,2596.1
2025-07-28T17:12:30.343667,2591.6
2025-07-28T17:12:30.477442,2581.1
2025-07-28T17:12:30.548298,2589.5
2025-07-28T17:12:30.614161,2599.3
2025-07-28T17:12:30.741875,2590.7
2025-07-28T17:12:30.831095,2593.5
2025-07-28T17:12:30.904606,2600.7
2025-07-28T17:12:31.001989,2601.0
2025-07-28T17:12:31.107459,2599.0
2025-07-28T17:12:31.190586,2603.3
2025-07-28T17:12:31.273238,2607.6
2025-07-28T17:12:31.449228,2586.5
2025-07-28T17:12:31.520700,2593.9
2025-07-28T17:12:31.607848,2596.9
2025-07-28T17:12:31.682852,2603.2
