Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-3799.7626953125	2370.413747288294	-217.0029	-6788.2637	215.0	1.0	0.0	1.0	1.0	-0.16042479993398315	-19.582584381103516	660.7810668945312	1445.738037109375	79.0
2	-3801.3678385416665	3589.1922953964636	851.11365	-10187.408	177.0	0.9904829083066998	0.036564767078597384	1.0	0.85	-1.753830302845348	-12.60028076171875	853.9340209960938	431.70269775390625	79.0
3	-3661.908203125	3911.5446224392394	-455.71457	-9508.303	203.33333333333334	0.8500000201104304	0.0	0.85	0.85	-45.62850082372323	-13.980876922607422	377.6701354980469	366.3418273925781	79.0
4	-3560.9283854166665	2458.846613082375	-66.46409	-6274.1665	179.0	0.8500000457192182	0.0	0.85	0.85	-90.15860545411985	-17.299671173095703	237.90992736816406	778.197998046875	79.0
5	-4562.438151041667	3908.7894119108882	344.9618	-9248.586	181.66666666666666	0.8499999099112084	1.1920928955078125e-07	0.85	0.85	-108.68471085101476	-30.029964447021484	480.63385009765625	1239.99755859375	79.0
6	-6268.791666666667	4136.511573778079	-991.33997	-13192.553	160.33333333333334	0.8500001021508892	5.960464477539063e-08	0.85	0.85	-127.34792592834728	-31.353984832763672	1448.03271484375	2605.6181640625	79.0
7	-1570.0872395833333	1708.3011053870646	13.307368	-5242.6235	166.0	0.850000061651673	5.960464477539063e-08	0.85	0.85	-56.46797664141414	-21.581443786621094	259.41717529296875	1747.85400390625	79.0
8	-3931.4202473958335	3284.670658275093	-981.5468	-10878.086	180.66666666666666	0.84999993205734	1.1920928955078125e-07	0.85	0.85	-56.835633116883116	-22.039234161376953	361.32464599609375	1245.597412109375	79.0
9	-4147.5634765625	4898.077445964556	-57.06246	-14719.632	168.33333333333334	0.8500001459007719	1.1920928955078125e-07	0.85	0.85	-65.82117623256973	-16.173660278320312	459.53680419921875	836.9286499023438	79.0
10	-4272.541015625	3605.8180763871046	-500.48428	-10165.477	180.33333333333334	0.8499999773103508	5.960464477539063e-08	0.85	0.85	-105.4355904391264	-26.53411102294922	692.2406005859375	3626.6591796875	79.0
11	-4125.477213541667	2924.4395474460857	-470.03207	-7644.329	169.0	0.8500001695421007	1.1920928955078125e-07	0.85	0.85	-72.05311414930556	-18.751815795898438	627.0068969726562	1071.16845703125	79.0
12	-5080.922526041667	3039.3833804463256	-430.83527	-9810.758	179.0	0.8500000457192182	0.0	0.85	0.85	-47.72742567883895	-27.247589111328125	1483.0526123046875	2540.4677734375	79.0
13	-3288.0390625	2073.7654158559017	-1005.9872	-5614.719	180.66666666666666	0.84999993205734	1.1920928955078125e-07	0.85	0.85	-76.99467329545455	-18.381858825683594	936.7545776367188	570.9899291992188	79.0
14	-4446.8681640625	2686.0799193868625	-2064.5886	-9902.24	156.66666666666666	0.8500001568355193	1.1920928955078125e-07	0.85	0.85	-35.99749063169165	-19.05535316467285	903.7267456054688	136.84857177734375	79.0
15	-3212.2376302083335	3068.6436743291	1173.0781	-8343.444	166.66666666666666	0.8500001473685865	1.1920928955078125e-07	0.85	0.85	-68.01028043259558	-18.47116470336914	2336.805419921875	335.068603515625	79.0
16	-5501.1015625	2004.4553707512007	-2293.8428	-7914.423	178.33333333333334	0.8500000229455474	0.0	0.85	0.85	-26.090568829299812	-29.401546478271484	2757.3251953125	267.969482421875	79.0
17	-3191.1083984375	2860.9363269158343	-280.8356	-8714.201	170.33333333333334	0.8500001561923289	1.1920928955078125e-07	0.85	0.85	-29.983917476624015	-19.28032112121582	1440.5794677734375	128.93017578125	79.0
18	-2665.2203776041665	2454.4513304063157	202.41423	-6984.0347	179.33333333333334	0.85	0.0	0.85	0.85	-49.198240362149534	-16.998414993286133	1718.9267578125	298.4801025390625	79.0
19	-3865.1712239583335	2745.7392447208094	-348.772	-7562.171	166.66666666666666	0.8500001473685865	1.1920928955078125e-07	0.85	0.85	-103.5367046026157	-21.932857513427734	2253.75439453125	403.514892578125	79.0
20	-3402.5540364583335	2569.42302213292	-929.8456	-8623.206	178.0	0.8500000689662782	5.960464477539063e-08	0.85	0.85	-49.68246086393597	-16.824535369873047	913.476318359375	174.9107666015625	79.0
21	-2395.8795572916665	1492.626599879108	-652.1762	-5099.6714	166.33333333333334	0.8500001353602256	1.1920928955078125e-07	0.85	0.85	-46.24532588835685	-19.99179458618164	1186.28125	116.069580078125	79.0
22	-4919.494466145833	3192.1006667501365	-698.57416	-9021.81	160.66666666666666	0.8500001146798343	1.1920928955078125e-07	0.85	0.85	-98.18453157620041	-25.67047119140625	2487.78466796875	43.796630859375	79.0
23	-4048.3548177083335	2657.5984146092	-2286.1235	-9627.828	193.0	0.8499999576144748	5.960464477539063e-08	0.85	0.85	-44.365763346354164	-24.219409942626953	1441.9146728515625	403.8536376953125	79.0
