process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_total,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_count,system_load_avg_1m
2025-07-18T17:01:18.325553,11878,python,0.0,0.0,7.28,0.18,90,2025-07-18T17:01:18.325757,0.0,32,0.353515625
2025-07-18T17:01:18.827933,11878,python,3.18125,101.8,7.78,0.19,90,2025-07-18T17:01:18.828091,3.9,32,0.353515625
2025-07-18T17:01:19.328897,11878,python,3.171875,101.5,8.28,0.2,90,2025-07-18T17:01:19.329040,4.1,32,0.353515625
2025-07-18T17:01:19.830765,11878,python,3.1125,99.6,8.78,0.2,90,2025-07-18T17:01:19.830898,3.7,32,0.353515625
2025-07-18T17:01:20.343778,11878,python,3.646875,116.7,9.31,0.26,90,2025-07-18T17:01:20.344272,5.5,32,0.353515625
2025-07-18T17:01:20.845194,11878,python,3.13125,100.2,9.81,0.27,90,2025-07-18T17:01:20.845322,4.1,32,0.353515625
2025-07-18T17:01:21.346851,11878,python,3.18125,101.8,10.31,0.28,90,2025-07-18T17:01:21.346969,3.5,32,0.353515625
2025-07-18T17:01:21.849211,11878,python,3.16875,101.4,10.81,0.29,90,2025-07-18T17:01:21.849656,3.3,32,0.40576171875
2025-07-18T17:01:22.390228,11878,python,3.525,112.8,11.38,0.33,90,2025-07-18T17:01:22.390321,5.9,32,0.40576171875
2025-07-18T17:01:22.892065,11878,python,3.175,101.6,11.88,0.34,90,2025-07-18T17:01:22.893286,3.5,32,0.40576171875
2025-07-18T17:01:23.409377,11878,python,3.265625,104.5,12.4,0.35,90,2025-07-18T17:01:23.409452,3.4,32,0.40576171875
2025-07-18T17:01:23.910011,11878,python,3.425,109.6,12.93,0.38,90,2025-07-18T17:01:23.910073,3.8,32,0.40576171875
2025-07-18T17:01:24.411900,11878,python,3.3,105.6,13.43,0.41,90,2025-07-18T17:01:24.413464,5.7,32,0.40576171875
2025-07-18T17:01:24.913995,11878,python,3.234375,103.5,13.94,0.42,90,2025-07-18T17:01:24.914340,3.5,32,0.40576171875
2025-07-18T17:01:25.414815,11878,python,3.11875,99.8,14.44,0.42,90,2025-07-18T17:01:25.414969,3.4,32,0.40576171875
2025-07-18T17:01:25.923877,11878,python,3.584375,114.7,14.97,0.48,90,2025-07-18T17:01:25.924141,7.1,32,0.40576171875
2025-07-18T17:01:26.425056,11878,python,3.225,103.2,15.47,0.49,90,2025-07-18T17:01:26.425175,4.7,32,0.40576171875
2025-07-18T17:01:26.926013,11878,python,3.178125,101.7,15.97,0.5,90,2025-07-18T17:01:26.926470,3.6,32,0.45361328125
2025-07-18T17:01:27.426974,11878,python,3.55625,113.8,16.5,0.54,90,2025-07-18T17:01:27.427054,3.9,32,0.45361328125
2025-07-18T17:01:27.967951,11878,python,3.334375,106.7,17.04,0.56,90,2025-07-18T17:01:27.968045,5.9,32,0.45361328125
2025-07-18T17:01:28.469565,11878,python,3.0875,98.8,17.54,0.57,90,2025-07-18T17:01:28.471102,3.3,32,0.45361328125
2025-07-18T17:01:28.972333,11878,python,3.10625,99.4,18.04,0.57,90,2025-07-18T17:01:28.972424,3.6,32,0.45361328125
2025-07-18T17:01:29.491866,11878,python,3.696875,118.3,18.6,0.61,90,2025-07-18T17:01:29.491952,5.1,32,0.45361328125
2025-07-18T17:01:29.992684,11878,python,3.103125,99.3,19.1,0.62,90,2025-07-18T17:01:29.992766,11.5,32,0.45361328125
2025-07-18T17:01:30.494225,11878,python,3.18125,101.8,19.6,0.63,90,2025-07-18T17:01:30.494342,6.7,32,0.45361328125
2025-07-18T17:01:30.996862,11878,python,3.296875,105.5,20.12,0.65,90,2025-07-18T17:01:30.997072,7.3,32,0.45361328125
2025-07-18T17:01:31.499250,11878,python,3.48125,111.4,20.64,0.68,90,2025-07-18T17:01:31.499672,7.2,32,0.57763671875
2025-07-18T17:01:32.041187,11878,python,3.271875,104.7,21.18,0.69,90,2025-07-18T17:01:32.041262,6.2,32,0.57763671875
2025-07-18T17:01:32.542100,11878,python,3.0875,98.8,21.68,0.7,90,2025-07-18T17:01:32.542297,3.6,32,0.57763671875
2025-07-18T17:01:33.043250,11878,python,3.36875,107.8,22.19,0.73,90,2025-07-18T17:01:33.043412,4.3,32,0.57763671875
2025-07-18T17:01:33.577316,11878,python,3.33125,106.6,22.73,0.74,90,2025-07-18T17:01:33.577430,3.6,32,0.57763671875
2025-07-18T17:01:34.077899,11878,python,3.075,98.4,23.23,0.75,90,2025-07-18T17:01:34.078313,3.6,32,0.57763671875
2025-07-18T17:01:34.579050,11878,python,3.43125,109.8,23.75,0.78,90,2025-07-18T17:01:34.580405,3.9,32,0.57763671875
2025-07-18T17:01:35.081801,11878,python,3.23125,103.4,24.26,0.79,90,2025-07-18T17:01:35.081942,7.0,32,0.57763671875
2025-07-18T17:01:35.603610,11878,python,3.2125,102.8,24.78,0.8,90,2025-07-18T17:01:35.603697,3.4,32,0.57763671875
2025-07-18T17:01:36.117932,11878,python,3.234375,103.5,25.3,0.81,90,2025-07-18T17:01:36.118164,3.6,32,0.57763671875
