metric,min,max,mean,median,std,p95,p99
RSS,1098.81,1135.79,1124.97,1126.34,5.84,1129.27,1134.64
USS,560.63,592.22,581.70,582.87,5.15,585.95,591.21
PSS,832.62,864.21,853.69,854.86,5.15,857.94,863.20
VMS,14232.71,14240.73,14239.44,14239.57,1.38,14240.71,14240.72
