Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.10056	10.895695	67.0	9.0	22.10056	-0.2158777	0.04597449	-0.15029576	-0.4210524	4000	1.8021092e-07	249.07901	-0.028096829	-107.543236	0.6896	0.011506387	0.17825	79.0	0.29792261123657227
1	32.295082	19.56439	109.0	9.0	32.295082	5.746032	1.0144233	13.708139	4.530967	8000	-3.8184226e-08	368.7397	-0.022326186	-191.05357	0.6848465	0.0057125	0.08825	79.0	0.5715372562408447
2	43.021976	24.559406	120.0	9.0	43.021976	18.624538	1.5633503	23.569677	13.051915	12000	1.6298145e-09	262.58514	-0.022636436	-60.953278	0.6640009	0.00719837	0.0915	79.0	0.8397977352142334
3	66.18965	37.1416	162.0	13.0	66.18965	23.222727	5.3073783	28.892658	-6.771656	16000	-4.0978193e-08	417.33728	-0.020319156	-131.68639	0.6407883	0.0072625633	0.08925	79.0	1.106257677078247
4	121.870964	66.80532	306.0	22.0	121.870964	30.774847	9.664916	46.132015	-12.724591	20000	-1.8626451e-08	758.0851	-0.016425388	-364.58582	0.62137246	0.007279389	0.0775	79.0	1.3724596500396729
5	166.09525	95.50961	389.0	23.0	166.09525	48.066624	12.885261	62.405964	-5.488739	24000	2.2351742e-08	561.4917	-0.014690255	-176.77989	0.6025753	0.0049454393	0.0705	79.0	1.6445856094360352
6	206.47058	80.110306	415.0	84.0	206.47058	53.526485	21.383307	76.73693	-26.775925	28000	3.7252903e-09	274.87952	-0.014217882	-75.68695	0.595467	0.011661284	0.10175	79.0	1.918792486190796
7	434.57144	205.84035	820.0	212.0	434.57144	66.57738	16.015985	84.50167	-10.565323	32000	0.0	401.30792	-0.012839515	-174.05376	0.5834353	0.005896582	0.08425	79.0	2.184475898742676
8	454.0	227.58484	945.0	226.0	454.0	84.54365	13.227474	98.310974	8.401635	36000	-1.4901161e-08	362.4496	-0.008697879	-48.847668	0.5666933	0.0032263128	0.034	79.0	2.4571778774261475
9	521.3333	346.98688	1000.0	129.0	521.3333	86.983406	7.716949	97.047844	56.796284	40000	1.8626451e-08	300.14764	-0.008236324	-31.379349	0.5611975	0.006759673	0.04175	79.0	2.7258410453796387
