timestamp,steps_per_sec
2025-07-28T17:41:55.560362,553.7
2025-07-28T17:41:55.997793,569.0
2025-07-28T17:41:56.492993,550.5
2025-07-28T17:41:56.898066,568.9
2025-07-28T17:41:57.303009,580.5
2025-07-28T17:41:57.817822,564.7
2025-07-28T17:41:58.249235,568.7
2025-07-28T17:41:58.644642,577.4
2025-07-28T17:41:59.099913,575.7
2025-07-28T17:41:59.574390,571.9
2025-07-28T17:42:00.008875,573.4
2025-07-28T17:42:00.434327,575.7
2025-07-28T17:42:00.968485,566.9
2025-07-28T17:42:01.429025,566.1
2025-07-28T17:42:01.921806,562.7
2025-07-28T17:42:02.332151,566.2
2025-07-28T17:42:02.763511,567.7
2025-07-28T17:42:03.244365,565.7
2025-07-28T17:42:03.737630,563.0
2025-07-28T17:42:04.179896,563.8
2025-07-28T17:42:05.126240,536.1
2025-07-28T17:42:05.948700,519.0
2025-07-28T17:42:06.745698,505.5
2025-07-28T17:42:07.676256,488.5
2025-07-28T17:42:08.684859,471.0
2025-07-28T17:42:09.680851,456.4
2025-07-28T17:42:10.711025,442.7
2025-07-28T17:42:11.607941,434.2
2025-07-28T17:42:12.361303,430.1
2025-07-28T17:42:13.253266,423.0
2025-07-28T17:42:14.285063,413.6
2025-07-28T17:42:14.814596,415.5
2025-07-28T17:42:15.233082,419.6
2025-07-28T17:42:15.632240,423.9
2025-07-28T17:42:16.027293,428.1
2025-07-28T17:42:16.459696,431.4
2025-07-28T17:42:16.858371,435.3
2025-07-28T17:42:17.311022,437.9
2025-07-28T17:42:17.711703,441.5
2025-07-28T17:42:18.152954,444.2
2025-07-28T17:42:18.643703,445.8
2025-07-28T17:42:19.022567,449.4
2025-07-28T17:42:19.562959,449.9
2025-07-28T17:42:19.975884,452.8
2025-07-28T17:42:20.427070,454.8
2025-07-28T17:42:21.263003,450.1
2025-07-28T17:42:22.080933,445.9
2025-07-28T17:42:22.961403,441.0
2025-07-28T17:42:23.777280,437.4
2025-07-28T17:42:24.793837,431.0
2025-07-28T17:42:25.606177,428.0
2025-07-28T17:42:26.382618,425.5
2025-07-28T17:42:27.153917,423.3
2025-07-28T17:42:28.243219,417.1
2025-07-28T17:42:29.199486,412.9
2025-07-28T17:42:30.116477,409.4
2025-07-28T17:42:30.512469,412.0
2025-07-28T17:42:30.918623,414.5
2025-07-28T17:42:31.377328,416.3
2025-07-28T17:42:31.934422,417.0
2025-07-28T17:42:32.346663,419.2
2025-07-28T17:42:32.759099,421.4
2025-07-28T17:42:33.205930,423.2
2025-07-28T17:42:33.629778,425.2
2025-07-28T17:42:34.049456,427.2
2025-07-28T17:42:34.445677,429.4
2025-07-28T17:42:34.849357,431.5
2025-07-28T17:42:35.346574,432.5
2025-07-28T17:42:35.899440,432.9
2025-07-28T17:42:36.722365,430.5
2025-07-28T17:42:37.530402,428.4
2025-07-28T17:42:38.358404,426.1
2025-07-28T17:42:39.224454,423.5
2025-07-28T17:42:40.144379,420.5
2025-07-28T17:42:41.066684,417.7
2025-07-28T17:42:41.914420,415.6
2025-07-28T17:42:42.752570,413.6
2025-07-28T17:42:43.623634,411.5
2025-07-28T17:42:44.440728,409.9
2025-07-28T17:42:45.295789,408.0
2025-07-28T17:42:45.817786,408.8
2025-07-28T17:42:46.307059,409.9
2025-07-28T17:42:46.732337,411.5
2025-07-28T17:42:47.182275,412.9
2025-07-28T17:42:47.656007,414.0
2025-07-28T17:42:48.117457,415.2
2025-07-28T17:42:48.546545,416.7
2025-07-28T17:42:48.947605,418.4
2025-07-28T17:42:49.338234,420.1
2025-07-28T17:42:49.853247,420.8
2025-07-28T17:42:50.276413,422.2
2025-07-28T17:42:50.686570,423.7
2025-07-28T17:42:51.110127,425.1
2025-07-28T17:42:51.970192,423.1
2025-07-28T17:42:52.864429,421.0
2025-07-28T17:42:53.692945,419.4
2025-07-28T17:42:54.690828,416.7
2025-07-28T17:42:55.571092,414.9
2025-07-28T17:42:56.444782,413.1
2025-07-28T17:42:57.303175,411.5
