timestamp,interval_count,total_count,queue_size,max_queue_size,cpu_percent
2025-07-28T18:47:47.063808,1,95,1.0,1,11.7
2025-07-28T18:47:47.564238,1,96,1.0,1,18.1
2025-07-28T18:47:48.064799,1,97,1.0,1,11.4
2025-07-28T18:47:48.565379,1,98,1.0,1,17.8
2025-07-28T18:47:49.066041,1,99,1.0,1,16.2
2025-07-28T18:47:49.566710,0,99,1.0,1,0.0
2025-07-28T18:47:50.067286,0,99,1.0,1,0.0
2025-07-28T18:47:50.567908,0,99,1.0,1,0.0
2025-07-28T18:47:51.068560,0,99,1.0,1,0.0
2025-07-28T18:47:51.569091,0,99,1.0,1,0.0
2025-07-28T18:47:52.069713,0,99,1.0,1,0.0
2025-07-28T18:47:52.570281,0,99,1.0,1,0.1
2025-07-28T18:47:53.070845,0,99,1.0,1,0.0
2025-07-28T18:47:53.571220,0,99,1.0,1,0.0
2025-07-28T18:47:54.071842,0,99,1.0,1,0.0
2025-07-28T18:47:54.572234,0,99,1.0,1,0.0
2025-07-28T18:47:55.072852,0,99,1.0,1,0.0
