timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
1753663135.186424,2025-07-27T19:38:55.186424,1.8,184.13885498046875,2.0155982971191406,0.2,62.6,1000.03125,0.0,0,0,0,0
1753663165.3245244,2025-07-27T19:39:25.324524,1.9,183.93692016601562,2.2175331115722656,4.5,62.6,1243.88671875,487.4,584242,1306996,577,4807
1753663195.4625578,2025-07-27T19:39:55.462558,2.3,183.29912185668945,2.8553123474121094,2.5,62.6,1894.7890625,606.6,131511,1837763,737,5815
1753663225.6095924,2025-07-27T19:40:25.609592,2.4,183.08005142211914,3.0743942260742188,50.1,62.6,2130.33984375,1666.4,56597,1738427,391,5229
1753663255.748623,2025-07-27T19:40:55.748623,2.0,183.75575256347656,2.398700714111328,17.1,62.6,1415.921875,688.8,18033,1629689,187,4870
1753663285.8878107,2025-07-27T19:41:25.887811,2.8,182.31729125976562,3.8371620178222656,50.2,62.6,3096.43359375,798.7,18595,1730987,202,4932
1753663316.0285668,2025-07-27T19:41:56.028567,2.0,183.84608840942383,2.3083648681640625,27.3,62.6,1309.75390625,1531.8,597077,1560869,576,4880
1753663346.1678803,2025-07-27T19:42:26.167880,2.1,183.71946716308594,2.4349822998046875,0.0,62.7,1444.38671875,627.7,18086,1760105,201,4716
1753663376.3163362,2025-07-27T19:42:56.316336,2.8,182.32653427124023,3.8279190063476562,49.9,62.7,2884.55859375,993.8,17956,1676745,195,4623
1753663406.4554133,2025-07-27T19:43:26.455413,2.2,183.35649490356445,2.7979583740234375,0.0,62.7,1818.8046875,1118.5,723444,1188997,609,4336
1753663436.5928164,2025-07-27T19:43:56.592816,2.2,183.35662460327148,2.7978286743164062,0.0,62.7,1818.8046875,0.1,874,205106,7,3418
1753663466.7295601,2025-07-27T19:44:26.729560,2.2,183.3566551208496,2.7977981567382812,0.0,62.7,1818.8046875,0.2,1043,214369,8,3567
1753663496.8663423,2025-07-27T19:44:56.866342,2.2,183.35630798339844,2.798145294189453,0.0,62.7,1818.8046875,0.2,3571,219096,21,3598
1753663527.0032263,2025-07-27T19:45:27.003226,2.2,183.35614776611328,2.7983055114746094,0.0,62.7,1818.8046875,0.2,1022,229757,8,3794
1753663557.112488,2025-07-27T19:45:57.112488,2.2,183.3561553955078,2.798297882080078,0.0,62.7,1818.8046875,0.2,824,240832,6,4008
1753663587.249299,2025-07-27T19:46:27.249299,2.2,183.35616302490234,2.798290252685547,0.0,62.7,1818.8046875,0.2,1048,214381,10,3569
1753663617.3858938,2025-07-27T19:46:57.385894,2.2,183.35614395141602,2.798309326171875,0.0,62.7,1818.8046875,0.2,704,213484,4,3553
1753663647.52299,2025-07-27T19:47:27.522990,2.2,183.3561553955078,2.798297882080078,0.0,62.7,1818.8046875,0.2,1489,218381,15,3605
1753663677.6596613,2025-07-27T19:47:57.659661,2.2,183.35616302490234,2.798290252685547,0.0,62.7,1818.8046875,0.2,596,227106,2,3785
1753663707.7968402,2025-07-27T19:48:27.796840,2.2,183.3562240600586,2.798229217529297,0.0,62.7,1818.8046875,0.1,894,222371,6,3695
1753663737.9334326,2025-07-27T19:48:57.933433,2.2,183.35623168945312,2.7982215881347656,0.0,62.7,1818.8046875,0.2,914,229918,7,3831
1753663768.067026,2025-07-27T19:49:28.067026,2.2,183.3562126159668,2.7982406616210938,0.2,62.7,1818.8046875,0.1,1228,251209,14,4150
1753663798.2041447,2025-07-27T19:49:58.204145,2.2,183.35622024536133,2.7982330322265625,0.0,62.7,1818.8046875,0.2,1039,228590,9,3809
1753663828.3413293,2025-07-27T19:50:28.341329,2.2,183.3560333251953,2.798419952392578,0.0,62.7,1818.9921875,0.2,662,234488,3,3894
1753663858.4779348,2025-07-27T19:50:58.477935,2.2,183.35600662231445,2.7984466552734375,0.0,62.7,1819.046875,0.1,910,223413,7,3690
1753663888.614512,2025-07-27T19:51:28.614512,2.2,183.35387802124023,2.8005752563476562,0.0,62.7,1821.27734375,0.2,1040,243919,9,4059
1753663918.7511508,2025-07-27T19:51:58.751151,2.2,183.35386657714844,2.800586700439453,0.0,62.7,1821.27734375,0.1,914,220374,7,3667
1753663948.8877568,2025-07-27T19:52:28.887757,2.2,183.35533142089844,2.799121856689453,0.0,62.7,1821.27734375,0.2,1357,216312,13,3606
1753663979.0247803,2025-07-27T19:52:59.024780,2.2,183.35919952392578,2.7952537536621094,0.2,62.7,1823.3203125,0.1,837,248033,6,4096
1753664009.161929,2025-07-27T19:53:29.161929,2.2,183.364990234375,2.7894630432128906,0.0,62.7,1823.3359375,0.2,1004,220804,8,3679
1753664039.296668,2025-07-27T19:53:59.296668,2.2,183.35705947875977,2.797393798828125,0.0,62.7,1831.24609375,0.1,3306,229232,18,3786
1753664069.433366,2025-07-27T19:54:29.433366,2.3,183.34258270263672,2.811870574951172,0.0,62.7,1845.91015625,0.2,930,230642,6,3842
1753664099.5704567,2025-07-27T19:54:59.570457,2.3,183.3268814086914,2.8275718688964844,0.0,62.7,1861.984375,0.2,1102,249851,11,4131
1753664129.677264,2025-07-27T19:55:29.677264,2.3,183.31121444702148,2.8432388305664062,0.0,62.7,1878.05859375,0.1,804,235412,6,3919
1753664159.8135993,2025-07-27T19:55:59.813599,2.3,183.30492782592773,2.8495254516601562,0.0,62.7,1884.48828125,0.2,848,238625,6,3972
1753664189.950785,2025-07-27T19:56:29.950785,2.3,183.30496215820312,2.8494911193847656,0.0,62.7,1884.48828125,0.1,878,254194,7,4217
1753664220.0673416,2025-07-27T19:57:00.067342,2.3,183.30485153198242,2.849590301513672,0.0,62.7,1884.51953125,0.2,4387,259385,17,4262
1753664250.2045696,2025-07-27T19:57:30.204570,2.3,183.30488204956055,2.8495712280273438,0.0,62.7,1884.51953125,0.1,1407,250992,13,4176
1753664280.3412342,2025-07-27T19:58:00.341234,2.3,183.31114959716797,2.843303680419922,0.0,62.7,1886.734375,0.2,1096,261873,9,4359
1753664310.4779038,2025-07-27T19:58:30.477904,2.3,183.3160858154297,2.838367462158203,0.0,62.7,1886.734375,0.1,1214,245124,13,4057
1753664340.615061,2025-07-27T19:59:00.615061,2.3,183.31600952148438,2.8384437561035156,0.2,62.7,1886.796875,0.2,758,256533,5,4266
1753664370.751728,2025-07-27T19:59:30.751728,2.3,183.3160171508789,2.8384361267089844,0.0,62.7,1886.796875,0.2,806,239876,5,3997
1753664400.8887029,2025-07-27T20:00:00.888703,2.3,183.31382751464844,2.840625762939453,0.0,62.7,1891.05078125,0.1,704,245073,4,4075
1753664431.000168,2025-07-27T20:00:31.000168,2.3,183.3138198852539,2.8406333923339844,0.0,62.7,1891.05078125,0.2,1088,240294,9,3974
1753664461.1370704,2025-07-27T20:01:01.137070,2.3,183.31378555297852,2.840667724609375,0.3,62.7,1891.08203125,0.1,1182,242716,13,4040
1753664491.2742717,2025-07-27T20:01:31.274272,2.3,183.31267166137695,2.8417816162109375,0.0,62.7,1891.08203125,0.2,948,244353,8,4068
1753664521.4115095,2025-07-27T20:02:01.411510,2.3,183.31293869018555,2.841510772705078,0.0,62.7,1891.08203125,0.2,3141,250973,16,4144
1753664551.5487583,2025-07-27T20:02:31.548758,2.3,183.31163024902344,2.842823028564453,0.2,62.7,1892.41015625,0.1,1041,250601,7,4152
1753664581.6854653,2025-07-27T20:03:01.685465,2.3,183.31161499023438,2.8428382873535156,0.5,62.7,1892.47265625,0.2,986,245518,8,4090
1753664611.822289,2025-07-27T20:03:31.822289,2.3,183.31149673461914,2.8429489135742188,0.0,62.7,1892.53515625,0.1,3603,249932,21,4115
1753664641.9593234,2025-07-27T20:04:01.959323,2.3,183.3115577697754,2.8428955078125,0.0,62.7,1892.53515625,0.2,1002,248664,9,4116
1753664672.066897,2025-07-27T20:04:32.066897,2.3,183.3095932006836,2.844860076904297,0.0,62.7,1894.5703125,0.2,912,239009,8,3974
1753664702.2034411,2025-07-27T20:05:02.203441,2.3,183.30962371826172,2.844829559326172,0.0,62.7,1894.5703125,0.2,914,238930,7,3981
