timestamp,queue_size
2025-07-28T01:27:47.188297,1
2025-07-28T01:27:47.414197,1
2025-07-28T01:27:47.951774,1
2025-07-28T01:27:47.959674,1
2025-07-28T01:27:48.083221,1
2025-07-28T01:27:48.297628,1
2025-07-28T01:27:48.318964,1
2025-07-28T01:27:48.446671,1
2025-07-28T01:27:48.507820,1
2025-07-28T01:27:48.521554,1
2025-07-28T01:27:48.566733,1
2025-07-28T01:27:48.852802,1
2025-07-28T01:27:48.918969,1
2025-07-28T01:27:48.987582,1
2025-07-28T01:27:49.009394,1
2025-07-28T01:27:49.140338,1
2025-07-28T01:27:49.170033,1
2025-07-28T01:27:49.178588,1
2025-07-28T01:27:49.192009,1
2025-07-28T01:27:49.204740,1
2025-07-28T01:27:49.232864,1
2025-07-28T01:27:49.288800,1
2025-07-28T01:27:49.429847,1
2025-07-28T01:27:49.457328,1
2025-07-28T01:27:49.596434,1
2025-07-28T01:27:49.601137,1
2025-07-28T01:27:49.610680,1
2025-07-28T01:27:49.631263,1
2025-07-28T01:27:49.923168,1
2025-07-28T01:27:49.956257,1
2025-07-28T01:27:49.969655,1
2025-07-28T01:27:50.015905,1
2025-07-28T01:27:50.064815,1
2025-07-28T01:27:50.069034,1
2025-07-28T01:27:50.073050,1
2025-07-28T01:27:50.083952,1
2025-07-28T01:27:50.203105,1
2025-07-28T01:27:50.243682,1
2025-07-28T01:27:50.428961,1
2025-07-28T01:27:50.485858,1
2025-07-28T01:27:50.531145,1
2025-07-28T01:27:50.587603,1
2025-07-28T01:27:50.608791,1
2025-07-28T01:27:50.612184,1
2025-07-28T01:27:50.624208,1
2025-07-28T01:27:50.631310,1
2025-07-28T01:27:50.634395,1
2025-07-28T01:27:50.654811,1
2025-07-28T01:27:50.810026,1
2025-07-28T01:27:50.826214,1
2025-07-28T01:27:50.845828,1
2025-07-28T01:27:50.863767,1
2025-07-28T01:27:50.867870,1
2025-07-28T01:27:51.003710,1
2025-07-28T01:27:51.013873,1
2025-07-28T01:27:51.036773,1
2025-07-28T01:27:51.136261,1
2025-07-28T01:27:51.148718,1
2025-07-28T01:27:51.183446,1
2025-07-28T01:27:51.197685,1
2025-07-28T01:27:51.201627,1
2025-07-28T01:27:51.297721,1
2025-07-28T01:27:51.319863,1
2025-07-28T01:27:51.366245,1
2025-07-28T01:27:51.374351,1
2025-07-28T01:27:51.435248,1
2025-07-28T01:27:51.469425,1
2025-07-28T01:27:51.482385,1
2025-07-28T01:27:51.555953,1
2025-07-28T01:27:51.602962,1
2025-07-28T01:27:51.651461,1
2025-07-28T01:27:51.657607,1
2025-07-28T01:27:51.680926,1
2025-07-28T01:27:51.717750,1
2025-07-28T01:27:51.765182,1
2025-07-28T01:27:51.792884,1
2025-07-28T01:27:51.802653,1
2025-07-28T01:27:51.808434,1
2025-07-28T01:27:51.816398,1
2025-07-28T01:27:51.820249,1
2025-07-28T01:27:51.896335,1
2025-07-28T01:27:51.900761,1
2025-07-28T01:27:51.988765,1
2025-07-28T01:27:52.001452,1
2025-07-28T01:27:52.006576,1
2025-07-28T01:27:52.011926,1
