Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-4335.203125	3553.3271732279313	347.67206	-13095.036	188.8125	1.0	0.0	1.0	1.0	-0.016702519320013518	-20.871618270874023	2211.728759765625	4.594970703125	159.0
2	-4248.91845703125	3459.382025738123	1453.8516	-11512.529	180.75	0.9931310406978008	0.004637576566512376	1.0	0.99	-0.29655840665475053	-29.43911361694336	3591.95751953125	7.67626953125	159.0
3	-3645.92529296875	2839.97693652607	483.29938	-12988.0	184.3125	0.9899998901242328	1.1920928955078125e-07	0.99	0.99	-0.7664787014149335	-17.74237632751465	1390.462158203125	6.456298828125	159.0
4	-4338.16015625	3978.812385624635	1267.7549	-12830.605	178.0625	0.9899998862458084	1.1920928955078125e-07	0.99	0.99	-1.3137088968187434	-24.82682991027832	2474.3251953125	16.303466796875	159.0
5	-4598.7333984375	3462.337071978983	954.7245	-13579.333	185.75	0.9899998149949256	1.7881393432617188e-07	0.99	0.99	-2.4203496992346074	-27.646989822387695	3263.846923828125	27.739501953125	159.0
6	-5057.2041015625	4691.977195170497	1393.0096	-18382.258	191.4375	0.9899998493651543	1.7881393432617188e-07	0.99	0.99	-4.303931441274204	-25.819299697875977	2876.57421875	52.768310546875	159.0
7	-3807.9296875	2953.190816726884	599.5652	-10905.761	192.4375	0.9899998788463108	1.1920928955078125e-07	0.99	0.99	-6.751226840515834	-15.635924339294434	1214.88232421875	35.6025390625	159.0
8	-3926.0126953125	3438.568015904295	346.6713	-11162.894	180.3125	0.9899998502309167	1.7881393432617188e-07	0.99	0.99	-10.778577302631579	-19.878957748413086	2479.139892578125	82.496826171875	159.0
9	-4255.85546875	3651.0866875493384	-6.3875537	-11881.745	189.9375	0.9899998449388026	1.7881393432617188e-07	0.99	0.99	-16.296554540191863	-21.890087127685547	1521.278076171875	59.289794921875	159.0
10	-4486.99609375	3961.920493901916	594.45917	-12987.287	174.9375	0.9899998842020751	1.1920928955078125e-07	0.99	0.99	-23.761009926338485	-24.229717254638672	2621.27880859375	66.083251953125	159.0
11	-1054.6341552734375	9434.42971249455	37461.98	-9342.577	229.8125	0.9899998372840413	1.7881393432617188e-07	0.99	0.99	-27.921230538104343	0.9596604108810425	2124.245361328125	32.06884765625	159.0
12	-4169.68359375	3549.8794345723913	362.03314	-14665.246	174.125	0.9899998413526625	1.7881393432617188e-07	0.99	0.99	-32.00080663357401	-14.674264907836914	1043.193603515625	47.5205078125	159.0
13	-4891.029296875	3188.2970376048715	251.95805	-12627.125	190.1875	0.9899998322390156	1.7881393432617188e-07	0.99	0.99	-38.15486145523621	-20.586660385131836	1625.7030029296875	57.400390625	159.0
14	-4032.835205078125	3095.5093280428023	609.9404	-11676.612	189.0	0.9899998117000499	1.7881393432617188e-07	0.99	0.99	-45.228048121675535	-20.7341365814209	1005.2907104492188	51.64776611328125	159.0
15	-3554.158935546875	2729.0765837550252	475.90323	-10155.254	178.1875	0.9899998794367284	1.1920928955078125e-07	0.99	0.99	-56.652899029982365	-14.043268203735352	676.7758178710938	33.16998291015625	159.0
16	-3655.62841796875	3658.075723655813	392.7012	-11137.885	175.1875	0.9899998703523053	1.1920928955078125e-07	0.99	0.99	-62.3794458647291	-21.390987396240234	2444.815185546875	69.8623046875	159.0
17	-4412.3486328125	4045.2354690425623	261.37387	-15091.038	186.375	0.9899997826934424	2.384185791015625e-07	0.99	0.99	-69.97734216958867	-20.471574783325195	2545.605712890625	78.34326171875	159.0
18	-3709.74267578125	4333.092659983167	886.74805	-15735.495	171.5	0.9899998997663123	1.1920928955078125e-07	0.99	0.99	-73.44580507697947	-21.479591369628906	2208.17822265625	91.802978515625	159.0
19	-4057.4501953125	3335.235823746201	634.26605	-11588.758	185.5625	0.9899998247280308	1.7881393432617188e-07	0.99	0.99	-74.20042118184897	-23.548336029052734	1645.6820068359375	59.5018310546875	159.0
20	-4386.189453125	4745.511563572467	1229.9019	-18150.941	177.625	0.9899999101534855	1.1920928955078125e-07	0.99	0.99	-81.28684536447275	-20.365095138549805	1714.1192626953125	46.1297607421875	159.0
21	-3445.771484375	3159.9443033066264	587.2037	-12777.465	180.1875	0.9899998569388734	1.7881393432617188e-07	0.99	0.99	-77.49954765434252	-15.182799339294434	854.1592407226562	49.3778076171875	159.0
22	-3854.309326171875	2872.5427760087405	294.6836	-9884.383	183.4375	0.9899998527963344	1.7881393432617188e-07	0.99	0.99	-78.7340484755053	-13.786262512207031	804.25146484375	25.44683837890625	159.0
