Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-3799.7626953125	2370.413747288294	-217.0029	-6788.2637	215.0	1.0	0.0	1.0	1.0	-0.3552030284085378	-12.426963806152344	7.919735431671143	9.084932327270508	79.0
2	-3579.1953125	1055.0065955560026	-2528.7466	-5568.2407	191.33333333333334	0.9226356412817426	0.07496271180756557	1.0	0.85	-12.86302984073993	-11.378625869750977	3.076078176498413	5.344219207763672	79.0
3	-2919.2513020833335	3042.8694790717964	-196.91846	-9563.319	198.0	0.8499999586902496	5.960464477539063e-08	0.85	0.85	-46.81764884729272	-14.741506576538086	6.717525005340576	9.415544509887695	79.0
4	-3640.2630208333335	1764.1636356453257	-660.6587	-5761.862	168.66666666666666	0.8500000970738072	5.960464477539063e-08	0.85	0.85	-54.49720427435388	-17.538188934326172	4.089402675628662	7.711503505706787	79.0
5	-4001.0774739583335	3936.325359181242	370.0444	-11020.358	173.66666666666666	0.8500000942627896	5.960464477539063e-08	0.85	0.85	-63.90904017857143	-19.750619888305664	11.017908096313477	28.0429630279541	79.0
6	-2108.5275065104165	930.5246727877056	-619.92737	-3398.0225	179.33333333333334	0.85	0.0	0.85	0.85	-70.92586886682243	-18.406490325927734	13.31049633026123	8.260359764099121	79.0
7	-4670.5185546875	6261.994996271822	307.40225	-17652.54	199.0	0.849999938348327	5.960464477539063e-08	0.85	0.85	-63.6869344486532	-11.418931007385254	4.8733906745910645	12.323915481567383	79.0
8	-7147.849609375	4489.174385860575	848.50366	-11908.977	227.66666666666666	0.85	0.0	0.85	0.85	-97.05255055147059	-18.4063720703125	5.524385452270508	13.507078170776367	79.0
9	-8635.622395833334	5675.569163822544	-3058.2217	-18866.48	170.66666666666666	0.8500001678766577	1.1920928955078125e-07	0.85	0.85	-196.73167362475442	-37.120948791503906	18.781068801879883	30.613656997680664	79.0
10	-5960.789713541667	3006.074849367527	-1467.7295	-11258.755	163.33333333333334	0.8500000877302041	5.960464477539063e-08	0.85	0.85	-191.02348562628336	-22.906574249267578	12.000624656677246	35.50798034667969	79.0
11	-5824.934895833333	4460.343633996526	-637.1919	-13286.982	166.0	0.850000061651673	5.960464477539063e-08	0.85	0.85	-211.34469696969697	-22.089378356933594	11.398580551147461	38.40087890625	79.0
12	-4585.463216145833	1828.0967333997035	-1722.7289	-6897.012	187.33333333333334	0.8499999344882044	5.960464477539063e-08	0.85	0.85	-72.62488819320215	-23.83970832824707	8.178297996520996	21.322376251220703	79.0
