Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.209677	11.75805	81.0	9.0	21.209677	-0.26434752	0.06743139	-0.05471576	-0.43848777	4000	-1.1175871e-07	263.1062	-0.01893211	-147.29059	0.68878096	0.009569416	0.144	79.0	0.3309493064880371
1	29.25	17.194283	103.0	9.0	29.25	7.9065347	0.18754739	8.173316	6.426246	8000	1.8626451e-08	244.35608	-0.01876684	-81.9926	0.68904984	0.0052559916	0.06475	79.0	0.6362183094024658
2	36.51402	23.92018	156.0	9.0	36.51402	13.646182	1.7463331	14.527151	-3.2962084	12000	1.4901161e-08	308.64926	-0.01915803	-61.535053	0.67681515	0.005931608	0.072	79.0	0.9267680644989014
3	44.65116	32.368793	182.0	11.0	44.65116	18.725863	2.2914715	19.605066	-9.254	16000	-3.7252903e-09	408.34772	-0.015904909	-58.921455	0.65554965	0.015533412	0.1275	19.0	1.1518304347991943
4	81.854164	47.875267	191.0	17.0	81.854164	24.039938	2.0116067	24.640759	-8.702314	20000	-1.8626451e-08	678.782	-0.013144622	-167.32994	0.6322721	0.005258686	0.039750002	79.0	1.4467742443084717
5	108.44118	52.571068	240.0	14.0	108.44118	31.987446	1.9224994	32.407486	-10.418701	24000	-4.656613e-08	659.5029	-0.012146249	-137.5234	0.61881286	0.007878097	0.0365	79.0	1.7364146709442139
6	181.1	124.812225	633.0	20.0	181.1	36.96919	8.27477	39.16019	-27.223803	28000	-3.7252903e-08	1161.4646	-0.011132596	-354.71686	0.6115292	0.004852606	0.05	79.0	2.033834457397461
7	221.0	144.28185	698.0	19.0	221.0	48.103718	3.805889	48.537235	-2.7796185	32000	4.4703484e-08	945.0607	-0.006300654	-311.14667	0.60266316	0.0031570424	0.01875	79.0	2.3254878520965576
8	301.41666	140.89325	645.0	53.0	301.41666	48.560555	11.484902	55.715145	16.304834	36000	-2.4214387e-08	854.75494	-0.0079452675	-357.53284	0.5920185	0.0057032383	0.03425	79.0	2.607606887817383
9	420.2857	135.86308	671.0	286.0	420.2857	58.491524	11.292123	63.415356	11.913649	40000	-2.9802322e-08	738.1776	-0.0062905825	-309.03952	0.59700966	0.0034041095	0.041249998	79.0	2.8888962268829346
