timestamp,interval_count,total_count,cpu_percent
2025-07-23T09:56:12.574340,4,4,0.0
2025-07-23T09:56:13.088271,13,17,80.4
2025-07-23T09:56:13.588621,10,27,88.4
2025-07-23T09:56:14.090232,16,43,77.8
2025-07-23T09:56:14.590536,23,66,81.3
2025-07-23T09:56:15.092153,24,90,71.7
2025-07-23T09:56:15.592508,25,115,72.7
2025-07-23T09:56:16.115419,18,133,71.9
2025-07-23T09:56:16.615754,47,180,73.0
2025-07-23T09:56:17.116066,41,221,72.5
2025-07-23T09:56:17.616435,38,259,72.5
2025-07-23T09:56:18.119749,39,298,72.3
2025-07-23T09:56:18.620913,40,338,73.1
2025-07-23T09:56:19.134288,17,355,71.5
2025-07-23T09:56:19.637180,62,417,73.2
2025-07-23T09:56:20.137556,37,454,72.6
2025-07-23T09:56:20.637864,27,481,72.4
2025-07-23T09:56:21.138158,31,512,73.1
2025-07-23T09:56:21.638636,38,550,72.7
2025-07-23T09:56:22.138941,40,590,72.4
2025-07-23T09:56:22.777105,38,628,72.8
2025-07-23T09:56:23.277387,50,678,72.9
2025-07-23T09:56:23.777673,43,721,72.2
2025-07-23T09:56:24.277917,38,759,73.5
2025-07-23T09:56:24.778189,39,798,73.7
2025-07-23T09:56:25.278525,31,829,79.4
2025-07-23T09:56:25.779825,29,858,72.8
2025-07-23T09:56:26.280180,34,892,73.7
2025-07-23T09:56:26.780479,39,931,76.9
2025-07-23T09:56:27.555008,30,961,73.1
2025-07-23T09:56:28.060098,67,1028,74.6
2025-07-23T09:56:28.560393,40,1068,75.9
2025-07-23T09:56:29.060719,37,1105,75.0
2025-07-23T09:56:29.561040,40,1145,76.8
2025-07-23T09:56:30.061400,33,1178,73.3
2025-07-23T09:56:30.561817,26,1204,71.2
2025-07-23T09:56:31.063358,13,1217,71.4
2025-07-23T09:56:31.563672,42,1259,73.4
2025-07-23T09:56:32.064343,36,1295,75.2
2025-07-23T09:56:32.564658,38,1333,73.4
2025-07-23T09:56:33.064995,40,1373,73.1
2025-07-23T09:56:33.565321,37,1410,72.8
2025-07-23T09:56:34.066609,40,1450,75.0
2025-07-23T09:56:34.566995,42,1492,73.4
2025-07-23T09:56:35.067342,35,1527,72.9
2025-07-23T09:56:35.568040,32,1559,73.2
2025-07-23T09:56:36.068385,30,1589,76.5
2025-07-23T09:56:36.739630,28,1617,72.6
2025-07-23T09:56:37.240440,65,1682,74.9
2025-07-23T09:56:37.740731,39,1721,73.4
2025-07-23T09:56:38.241037,33,1754,73.3
2025-07-23T09:56:38.741425,36,1790,66.6
2025-07-23T09:56:39.241871,36,1826,68.0
2025-07-23T09:56:39.742259,33,1859,66.5
2025-07-23T09:56:40.242558,25,1884,64.0
2025-07-23T09:56:41.026164,24,1908,56.8
2025-07-23T09:56:41.526718,30,1938,42.8
2025-07-23T09:56:42.031338,13,1951,35.4
2025-07-23T09:56:42.531691,7,1958,25.5
2025-07-23T09:56:43.032075,5,1963,14.0
2025-07-23T09:56:43.532369,3,1966,9.3
