timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent
1752044996.0933883,2025-07-09T03:09:56.093388,4.8,119.49287414550781,4.739234924316406,4.4,4.6,966.19140625,0.0
1752045026.2257137,2025-07-09T03:10:26.225714,4.8,119.52768325805664,4.704418182373047,4.1,4.6,966.19140625,0.2
1752045056.3573532,2025-07-09T03:10:56.357353,4.8,119.52832412719727,4.7037506103515625,3.4,4.6,966.19140625,0.1
1752045086.4687128,2025-07-09T03:11:26.468713,4.8,119.50619506835938,4.7257843017578125,3.1,4.6,966.19140625,0.2
1752045116.6002462,2025-07-09T03:11:56.600246,4.8,119.49641799926758,4.735530853271484,6.0,4.6,966.19140625,0.2
1752045146.731239,2025-07-09T03:12:26.731239,4.8,119.42829895019531,4.802520751953125,2.8,4.6,966.19140625,0.1
1752045176.8590772,2025-07-09T03:12:56.859077,4.8,119.42811584472656,4.80218505859375,2.8,4.6,966.19140625,0.1
1752045206.990523,2025-07-09T03:13:26.990523,4.9,119.40890121459961,4.821376800537109,2.2,4.6,966.19140625,0.2
1752045237.1221445,2025-07-09T03:13:57.122144,4.9,119.32726287841797,4.9029388427734375,6.5,4.6,966.19140625,0.1
1752045267.2539847,2025-07-09T03:14:27.253985,4.9,119.31373596191406,4.916446685791016,3.8,4.6,966.19140625,0.2
1752045297.3847196,2025-07-09T03:14:57.384720,4.9,119.3065071105957,4.923648834228516,3.2,4.6,966.19140625,0.1
1752045327.5147047,2025-07-09T03:15:27.514705,5.0,119.26568222045898,4.9429931640625,3.1,4.6,966.19140625,0.2
1752045357.6453388,2025-07-09T03:15:57.645339,5.0,119.25310134887695,4.954566955566406,3.1,4.6,966.19140625,0.1
1752045387.7764134,2025-07-09T03:16:27.776413,5.0,119.27411270141602,4.933300018310547,3.5,4.6,966.19140625,0.1
1752045417.9075103,2025-07-09T03:16:57.907510,5.0,119.25555419921875,4.95196533203125,3.8,4.6,966.19140625,0.2
1752045448.0385165,2025-07-09T03:17:28.038517,5.0,119.27984237670898,4.949165344238281,3.5,4.6,966.19140625,0.2
1752045478.1694984,2025-07-09T03:17:58.169498,5.0,119.27680206298828,4.952125549316406,4.4,4.6,966.19140625,0.2
1752045508.300479,2025-07-09T03:18:28.300479,5.0,119.27296829223633,4.955936431884766,2.2,4.6,966.19140625,0.2
1752045538.4310052,2025-07-09T03:18:58.431005,5.0,119.26986312866211,4.959068298339844,3.4,4.6,966.19140625,0.1
1752045568.5471632,2025-07-09T03:19:28.547163,5.0,119.24089813232422,5.002498626708984,3.1,4.6,966.19140625,0.2
1752045598.676751,2025-07-09T03:19:58.676751,5.0,119.18206405639648,5.03704833984375,6.2,4.6,966.19140625,0.1
1752045628.8070202,2025-07-09T03:20:28.807020,4.9,119.3434829711914,4.8833160400390625,2.5,4.6,966.19140625,0.2
1752045658.9321206,2025-07-09T03:20:58.932121,5.4,118.73050308227539,5.4997100830078125,3.7,4.6,966.19140625,0.1
1752045689.062953,2025-07-09T03:21:29.062953,5.4,118.71747207641602,5.504360198974609,5.3,4.6,966.19140625,0.1
1752045719.1953979,2025-07-09T03:21:59.195398,5.0,119.26576232910156,4.958225250244141,2.5,4.6,966.19140625,0.1
1752045749.3283658,2025-07-09T03:22:29.328366,5.0,119.27291488647461,4.950908660888672,1.6,4.6,966.19140625,0.2
1752045779.4613278,2025-07-09T03:22:59.461328,4.9,119.29690170288086,4.926944732666016,1.6,4.6,966.19140625,0.2
1752045809.5943453,2025-07-09T03:23:29.594345,4.9,119.30199432373047,4.92181396484375,1.9,4.6,966.19140625,0.2
1752045839.7270348,2025-07-09T03:23:59.727035,4.9,119.30434799194336,4.919498443603516,1.6,4.6,966.19140625,0.2
1752045869.8588183,2025-07-09T03:24:29.858818,4.9,119.29314804077148,4.9306488037109375,2.8,4.6,966.19140625,0.2
1752045899.9812355,2025-07-09T03:24:59.981236,4.9,119.3046875,4.919059753417969,1.6,4.6,966.19140625,0.2
1752045930.112458,2025-07-09T03:25:30.112458,4.9,119.298583984375,4.925041198730469,0.9,4.6,966.19140625,0.2
1752045960.2434983,2025-07-09T03:26:00.243498,5.3,118.90312576293945,5.201091766357422,3.4,4.6,966.19140625,0.1
1752045990.370552,2025-07-09T03:26:30.370552,5.4,118.78462600708008,5.285800933837891,4.1,4.6,966.19140625,0.2
1752046020.501479,2025-07-09T03:27:00.501479,5.2,118.92173767089844,5.24041748046875,4.7,4.6,966.19140625,0.2
1752046050.6198244,2025-07-09T03:27:30.619824,5.2,118.94510269165039,5.217212677001953,2.5,4.6,966.19140625,0.2
1752046080.7515016,2025-07-09T03:28:00.751502,5.2,118.96969223022461,5.190547943115234,2.8,4.6,966.19140625,0.1
1752046110.8824596,2025-07-09T03:28:30.882460,5.3,118.88333892822266,5.281093597412109,3.1,4.6,966.19140625,0.2
1752046141.0156567,2025-07-09T03:29:01.015657,5.8,118.2391471862793,5.9146728515625,93.1,4.6,1116.50390625,1310.4
1752046171.145684,2025-07-09T03:29:31.145684,5.8,118.2226676940918,5.932891845703125,90.6,4.6,1129.8125,1885.8
