Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter
1	-10529.1	4330.587581379691	-2639.7686	-15895.495	145.0	13.564659966250536	161.0	123.0	0.15325789981418186	0.018924537226756424	0.18612961	0.10808967	8.609559642991371e-08	27902484.0	-0.0018465648172423244	-554.0	0.6528347134590149	0.02187499962747097	0.0	14.0
2	-11938.1875	3728.03197411181	-6590.5767	-17254.523	150.6	25.24757394749791	177.0	115.0	0.11178826520787204	0.04418298794217693	0.20221597	0.022347167	0.0004971956368535757	32588038.0	0.005080506205558777	-656.0	0.6700807213783264	0.017045455053448677	0.0	2.0
3	-7919.815625	2793.0573928940307	-4182.7417	-11169.39	133.4	16.0199872108056	153.0	119.0	0.045842556794964656	0.04797549316091087	0.13014996	-0.10775119	-0.00042144552571699023	16669509.0	-0.008579662069678307	-402.0	0.6810421347618103	-0.01859894208610058	0.0	39.0
4	-13799.740625	3512.6489149927866	-9406.11	-19417.89	163.4	12.924395631572342	179.0	143.0	-0.005169505556228713	0.07799862567201121	0.084783375	-0.2809835	-0.00584510387852788	39326032.0	0.011238506995141506	-1540.0	0.665208637714386	-0.013931650668382645	0.0036945813335478306	39.0
5	-4888.578515625	3257.7260781103128	-1164.0157	-9657.284	114.6	12.092973267207956	135.0	101.0	-0.008368428324309873	0.046769767268120356	0.047162347	-0.15693474	0.00444799242541194	8731997.0	-0.0040211668238043785	-778.0	0.6559842824935913	0.001980633707717061	0.0017605633474886417	39.0
6	-8727.2890625	4774.598621873884	-2688.3777	-14610.934	149.0	24.625190354594217	173.0	107.0	-0.22969630473368877	0.2477689736448694	0.039925322	-1.2582234	0.0025049401447176933	22173910.0	0.004165029618889093	-4024.0	0.6539355516433716	0.015118243172764778	0.029729729518294334	21.0
7	-6177.309375	3271.4997172550698	-3861.404	-12409.519	127.8	21.188676451482877	169.0	113.0	-0.6604161788988565	0.4765129294385765	-0.090972744	-2.9122322	0.0044316784478724	12569159.0	-0.0014913470949977636	-4015.0	0.6733934283256531	0.017152996733784676	0.02996845357120037	14.0
8	-7388.5921875	2855.1990473520405	-3531.8372	-11981.183	134.2	22.435684989264313	171.0	111.0	-1.3269464532892268	0.8160221969064372	-0.29775235	-3.5415971	0.001503469655290246	15047119.0	-0.003960059490054846	-8950.0	0.6750246286392212	0.005818318109959364	0.2057057023048401	39.0
9	-7855.10078125	2563.795155623787	-3589.4817	-10771.577	137.0	23.630488780387086	167.0	105.0	-2.403594970703125	1.4399342251384901	-0.6101026	-6.3480906	-0.0006091054528951645	16092988.0	-0.0011165461037307978	-16540.0	0.6548579335212708	0.015073529444634914	0.15000000596046448	22.0
10	-8941.27109375	3511.6661572535622	-2899.5664	-13416.603	135.8	19.66112941225974	161.0	105.0	-4.767349560112203	2.5811444024282997	-1.2445846	-11.792612	0.003516780212521553	21155944.0	-0.0029050204902887344	-33252.0	0.6616854071617126	0.002040059305727482	0.013353115878999233	39.0
11	-8976.478125	3751.1549154893614	-5629.2695	-15951.24	126.6	21.59259109589155	159.0	105.0	-8.63926278861465	4.198695033350387	-2.4951344	-22.664808	0.001634579966776073	22402544.0	-0.00017378816846758127	-59070.0	0.6533561944961548	-0.015226910822093487	0.1624203771352768	39.0
12	-8068.1078125	4048.7937956877972	-2475.6924	-13045.368	134.2	24.28497497971997	179.0	107.0	-12.351002369557056	6.326438772206365	-3.399528	-32.99878	-0.0021456927061080933	19225524.0	-0.003911908250302076	-63516.0	0.6327326893806458	-0.00844594556838274	0.1456456482410431	39.0
13	-8990.67734375	3105.7211722883303	-3786.7312	-13182.73	129.8	18.82976328453341	155.0	105.0	-22.59600337247671	10.026541834005796	-6.451011	-45.431515	-0.001043850788846612	21461920.0	-0.008817262016236782	-96438.0	0.6228505373001099	-0.0035908385179936886	0.1319875717163086	39.0
14	-9914.1828125	3480.526396969286	-6320.437	-15698.988	150.2	11.496086184375695	165.0	135.0	-31.937735631702413	16.411129508639245	-9.315758	-87.5261	-0.00013306089385878295	23925082.0	-0.0019129309803247452	-137800.0	0.6226535439491272	-0.0010891420533880591	0.03619302809238434	39.0
15	-12285.78671875	5707.030891803548	-4861.654	-21848.543	149.8	37.23654066824012	217.0	105.0	-53.50306619623656	24.534027691859855	-17.973986	-121.41076	-0.0007075635367073119	37631764.0	-0.0028201648965477943	-272276.0	0.6305897831916809	0.00428427429869771	0.025537634268403053	39.0
16	-7238.44375	2108.2327196018946	-4566.1157	-10149.574	119.8	18.529975978549594	151.0	97.0	-69.68200231481481	26.86813493869969	-29.091492	-135.11954	0.0003507627116050571	13916966.0	-0.00048312998842447996	-136307.0	0.6203053593635559	0.0018939394503831863	0.016835017129778862	39.0
17	-8580.99765625	5669.073151759465	-2840.9426	-19440.652	128.6	24.113066794465922	175.0	105.0	-88.87850215517241	41.764664798191895	-30.936043	-256.69485	-0.0019599960651248693	24705842.0	0.005904626101255417	-223528.0	0.6321620941162109	-0.004604232031852007	0.12382445484399796	39.0
18	-9342.3203125	5624.364141838613	-4119.588	-19937.172	129.0	27.39342986922229	183.0	109.0	-117.9760498046875	44.66532010757899	-48.535133	-236.56258	0.012018272653222084	26764626.0	-0.005921368021517992	-356590.0	0.6018123626708984	-0.0037109374534338713	0.0546875	39.0
19	-10001.18984375	4233.99234765487	-3576.7085	-15458.14	133.0	14.085453489327207	149.0	109.0	-152.62818418560607	68.11003241191062	-33.836983	-368.52863	-0.000976464943960309	25491036.0	-0.004691151902079582	-382268.0	0.6077287793159485	-0.0032196969259530306	0.22272726893424988	39.0
20	-12284.8375	2813.2160955035074	-8965.654	-16270.992	140.2	15.47126400025625	159.0	125.0	-220.1143139367816	86.76853540098614	-78.34337	-525.5873	0.0017507000593468547	31991290.0	-0.0025189367588609457	-636814.0	0.5933190584182739	0.0028735632076859474	0.11637931317090988	39.0
21	-11108.71640625	4243.732885090672	-4808.806	-17444.521	141.8	23.58304392858352	171.0	103.0	-243.8888272372159	121.68241777452708	-54.997932	-610.5606	0.000254313024925068	29699922.0	-0.0021628476679325104	-608820.0	0.559747576713562	-0.0002663352352101356	0.053977273404598236	39.0
22	-5915.459375	1881.6337582005697	-3638.1113	-9375.533	111.8	5.153639549905636	121.0	107.0	-269.2081171028881	87.52569504104936	-68.63221	-457.52536	-0.0011597367702051997	8276995.0	-0.0018618976464495063	-196976.0	0.5578943490982056	0.0009025270701386034	0.036101084202528	39.0
23	-9378.2015625	2616.991249507724	-5703.8657	-11953.525	129.4	18.56448261192424	159.0	109.0	-370.06994742990656	134.66994960681765	-91.31355	-715.65936	0.003562167752534151	19405546.0	-0.003282111370936036	-479778.0	0.5775550603866577	0.0036020248662680387	0.020249221473932266	39.0
24	-11868.146875	4301.149985759623	-6042.031	-18666.53	142.6	23.303218452273388	173.0	109.0	-448.44853460451975	202.57808705763858	-94.705574	-1312.4319	-0.0013775973347947001	30054128.0	-0.0013071241555735469	-923258.0	0.5841298699378967	0.004413841757923365	0.0692090392112732	39.0
25	-5700.77890625	1001.6664115362959	-4606.495	-7047.46	116.2	7.858753314750971	131.0	109.0	-421.3849283854167	144.5072025790487	-67.27726	-788.1456	0.00223905174061656	6614188.0	2.380344085395336e-05	-208029.0	0.55704265832901	0.00933159701526165	0.1197916641831398	39.0
