timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
1752206395.731828,2025-07-10T23:59:55.731828,6.0,118.01959991455078,6.1650238037109375,0.9,4.7,965.93359375,0.0,0,0,0,0
1752206425.8745458,2025-07-11T00:00:25.874546,8.8,114.5007095336914,9.672142028808594,77.6,4.7,2845.65625,852.7,3457373,3475972,338,368
1752206456.0021098,2025-07-11T00:00:56.002110,8.8,114.45927047729492,9.70941162109375,16.2,4.7,1668.0546875,1824.2,3059448,3063337,397,415
1752206486.1423264,2025-07-11T00:01:26.142326,9.6,113.43680191040039,10.731868743896484,76.0,4.7,2839.5625,1207.8,3609855,3612603,244,250
1752206516.3227563,2025-07-11T00:01:56.322756,8.7,114.59299850463867,9.575550079345703,6.6,4.7,1272.859375,1542.7,3291830,3289292,575,567
1752206546.4756439,2025-07-11T00:02:26.475644,8.8,114.46854782104492,9.7000732421875,60.2,4.7,3090.3203125,1383.6,3267187,3267949,374,371
1752206576.6009243,2025-07-11T00:02:56.600924,8.2,115.17073440551758,8.997753143310547,3.4,4.7,1331.1796875,1360.1,3609001,3606651,698,695
1752206606.756984,2025-07-11T00:03:26.756984,9.9,113.04849243164062,11.12002182006836,57.8,4.7,2534.515625,1570.0,3627421,3632299,1170,1179
1752206636.8923466,2025-07-11T00:03:56.892347,7.5,116.06774139404297,8.100688934326172,3.4,4.7,1400.17578125,1165.5,4173764,4171239,1666,1662
1752206667.028354,2025-07-11T00:04:27.028354,10.3,112.6111068725586,11.557342529296875,55.5,4.7,2567.46484375,1792.9,2827863,2830945,378,374
1752206697.162579,2025-07-11T00:04:57.162579,9.1,114.04413223266602,10.124263763427734,50.0,4.7,2394.625,1143.2,3761577,3758769,191,183
1752206727.2999182,2025-07-11T00:05:27.299918,9.5,113.60172653198242,10.566680908203125,80.2,4.7,3071.90234375,1918.2,3031272,3032555,524,522
1752206757.4402125,2025-07-11T00:05:57.440212,9.4,113.73771286010742,10.430679321289062,75.1,4.7,2921.79296875,1040.6,3812071,3809422,184,177
1752206787.5902436,2025-07-11T00:06:27.590244,9.7,113.35529327392578,10.811634063720703,65.6,4.7,2993.44140625,1931.3,2864739,2866393,194,194
1752206817.7101238,2025-07-11T00:06:57.710124,9.7,113.3000373840332,10.872238159179688,66.5,4.7,2901.953125,1161.9,3972477,3970178,188,183
1752206847.8446894,2025-07-11T00:07:27.844689,9.0,114.1806411743164,9.991626739501953,3.7,4.7,1745.609375,1771.8,3311899,3313516,345,344
1752206877.9865384,2025-07-11T00:07:57.986538,9.9,113.01775741577148,11.154388427734375,47.1,4.7,2400.1796875,1190.6,4180798,4178395,1251,1245
1752206908.1221936,2025-07-11T00:08:28.122194,7.6,115.94558334350586,8.226505279541016,35.4,4.7,1301.83984375,1594.3,3537407,3552576,293,300
1752206938.2708373,2025-07-11T00:08:58.270837,9.8,113.2053337097168,10.962936401367188,41.7,4.7,2117.91015625,1386.9,3282964,3283388,403,394
1752206968.405837,2025-07-11T00:09:28.405837,8.1,115.36453628540039,8.803630828857422,3.4,4.7,1353.171875,1420.7,3334221,3335135,222,216
1752206998.5520523,2025-07-11T00:09:58.552052,10.1,112.86111450195312,11.307182312011719,75.0,4.7,2934.9296875,1571.8,3085632,3077223,152,143
1752207028.6877792,2025-07-11T00:10:28.687779,7.6,115.99114227294922,8.177040100097656,35.0,4.7,1413.55859375,1198.0,3819719,3820118,855,851
1752207058.8244932,2025-07-11T00:10:58.824493,9.7,113.32453918457031,10.843635559082031,76.8,4.7,2938.3515625,1785.4,2778367,2769632,172,157
1752207088.9606373,2025-07-11T00:11:28.960637,8.5,114.7739143371582,9.394241333007812,41.1,4.7,2323.3203125,1070.5,4001490,3956025,512,489
1752207119.1050441,2025-07-11T00:11:59.105044,9.7,113.37582015991211,10.791324615478516,75.1,4.7,3063.8828125,1916.9,2869258,2867367,151,144
1752207149.241554,2025-07-11T00:12:29.241554,9.7,113.34640502929688,10.82171630859375,72.0,4.7,2812.796875,1073.1,3720399,3721642,196,195
1752207179.393763,2025-07-11T00:12:59.393763,9.8,113.18992614746094,10.97817611694336,51.7,4.7,2627.54296875,1917.6,2712342,2708315,181,168
1752207209.5288146,2025-07-11T00:13:29.528815,9.1,114.09405899047852,10.074012756347656,70.4,4.7,2645.796875,1080.9,3967682,4000880,597,608
1752207239.666664,2025-07-11T00:13:59.666664,9.9,113.1055793762207,11.062446594238281,71.0,4.7,3019.51953125,1925.5,4798703,4801453,4324,4314
1752207269.8020475,2025-07-11T00:14:29.802047,9.2,113.93086242675781,10.237163543701172,71.0,4.7,2990.73828125,1111.2,3845453,3847069,197,197
1752207299.937318,2025-07-11T00:14:59.937318,9.5,113.64122009277344,10.526714324951172,35.1,4.7,1251.10546875,1702.4,3304499,3302213,165,159
1752207330.0827825,2025-07-11T00:15:30.082783,8.3,115.0733413696289,9.094669342041016,70.6,4.7,2702.23828125,1294.5,3385097,3431135,211,238
1752207360.217632,2025-07-11T00:16:00.217632,8.3,115.07978439331055,9.088130950927734,3.4,4.7,1333.765625,1501.7,3207875,3203997,436,420
1752207390.353438,2025-07-11T00:16:30.353438,10.0,112.96529769897461,11.202686309814453,73.1,4.7,3041.33203125,1551.7,3239572,3239479,208,205
