Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	36.08025	76.893486	140.80115	-70.863716	651.3333	-34.11871	0.052616313	-33.617966	-34.137978	112000	-1.6689301e-09	2242.2134	-0.007944199	-36.161133	1.0530697	0.0053229467	0.0905	79.0	36.88253831863403
28	13.635379	67.62856	83.51991	-90.43609	701.6	-33.05784	0.029796498	-32.811382	-33.07011	116000	-3.8146974e-09	1737.3564	-0.009552367	-38.784912	1.0530678	0.004755777	0.11175	79.0	39.04710388183594
29	-21.066662	111.44045	218.66705	-141.73836	482.5	-31.863937	0.1502351	-27.799133	-31.905037	120000	-1.0967255e-08	5934.745	-0.008691985	-0.57910156	1.0256319	0.010545334	0.1275	79.0	40.54030632972717
30	62.288258	57.635582	123.08049	-12.336694	761.4	-31.788668	0.037198275	-31.486172	-31.803957	124000	-1.0848045e-08	1997.4479	-0.009206232	-81.39172	0.9631377	0.009136679	0.12275	79.0	42.39115905761719
31	79.895676	23.005161	105.12698	42.94432	1000.0	-30.132988	0.041137125	-29.80954	-30.147903	128000	1.0609627e-08	2156.2915	-0.0083473	-106.99902	1.0029391	0.004173917	0.0635	79.0	44.67400765419006
32	72.97185	61.467937	162.37036	-5.3843203	1000.0	-28.10094	0.087071724	-26.574808	-28.12917	132000	-3.33786e-08	1973.0747	-0.009148945	-83.06006	0.92991114	0.010560889	0.08575	79.0	47.11973309516907
33	72.06251	54.46069	146.00482	-7.313095	977.75	-26.294415	0.1371301	-24.675043	-26.343517	136000	9.715557e-09	3243.807	-0.006514226	-1143.1294	0.9512715	0.012942976	0.157	79.0	50.015547037124634
34	36.59206	101.7689	134.3239	-113.64461	954.75	-8.129949	8.199057	5.4381604	-18.608395	140000	-8.34465e-09	2300.1426	-0.006368891	-814.5381	0.9371847	0.0051936116	0.05125	79.0	52.71602702140808
35	43.42875	49.34873	94.54544	-28.448956	897.25	0.9286599	8.6542635	17.506128	-14.267514	144000	1.9073487e-09	1016.174	-0.009571052	-108.70227	0.9542906	0.004354542	0.11525	79.0	55.09868144989014
36	70.726234	92.85413	205.69977	-53.993748	818.25	12.573621	9.24351	21.55518	-14.157881	148000	5.2452087e-09	3101.7407	-0.008340209	-558.57983	0.90542465	0.0119231455	0.1225	79.0	57.35004758834839
37	108.14844	50.52176	189.75426	56.615524	945.75	11.61877	10.282872	23.664959	-11.856493	152000	-3.5762786e-09	1601.8523	-0.006577111	-287.2517	0.8688268	0.005870162	0.0775	79.0	60.221901416778564
38	152.61954	44.581306	202.82732	81.00758	853.75	20.072699	8.53617	25.79992	-4.3426933	156000	1.1205673e-08	5114.645	-0.011085199	-1146.2273	0.8791005	0.015037992	0.069	57.0	62.676841735839844
