metric,min,max,mean,median,std,p95,p99
RSS,1098.83,1156.42,1137.75,1138.71,10.26,1155.65,1156.35
USS,561.05,614.06,595.34,596.12,9.75,613.17,613.88
PSS,832.78,885.79,867.07,867.85,9.75,884.90,885.61
VMS,14232.71,14246.03,14244.29,14244.91,2.46,14246.01,14246.02
