metric,min,max,mean,median,std,p95,p99
RSS,1098.25,1104.61,1103.85,1104.36,1.71,1104.61,1104.61
USS,568.55,570.03,569.53,569.62,0.44,569.99,570.02
PSS,836.13,837.60,837.10,837.19,0.44,837.56,837.59
VMS,14231.52,14233.52,14232.91,14232.52,0.65,14233.52,14233.52
