Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-4302.311197916667	3187.5017385616175	-217.0029	-11100.095	187.08333333333334	1.0	0.0	1.0	1.0	1.086053392997089	-21.514755249023438	0.0	0.0	79.0
2	-3990.1516927083335	3537.3562632753483	1019.6208	-11710.674	184.08333333333334	0.9992036815117206	0.000402733579025453	1.0	0.999	1.0696703112554051	-16.719036102294922	-12356.2958984375	12063.36328125	79.0
3	-3439.9889322916665	3409.459390186857	769.95197	-11960.254	180.66666666666666	0.9989998840445269	1.1920928955078125e-07	0.999	0.999	891.1782235621521	-17.897113800048828	-12719988.0	12704066.0	79.0
4	-3833.9593098958335	3310.9615924481313	191.64575	-12205.313	173.58333333333334	0.9989998604237084	1.7881393432617188e-07	0.999	0.999	24277.075808788024	-15.715246200561523	-1280222720.0	1260242816.0	79.0
5	-2664.8935546875	2849.982923925452	691.3696	-9616.171	184.5	0.9989999325896912	5.960464477539063e-08	0.999	0.999	212126.38692098093	-16.076147079467773	-21305612288.0	20015572992.0	79.0
6	-4593.892578125	3417.9849814376503	-220.66574	-14052.04	185.91666666666666	0.9989998926177333	1.1920928955078125e-07	0.999	0.999	732736.6633618748	-15.828834533691406	-106820812800.0	91831164928.0	79.0
7	-5203.9296875	4884.363076867512	1217.694	-15558.044	184.66666666666666	0.9989999539190109	5.960464477539063e-08	0.999	0.999	2211246.4609800363	-23.170732498168945	-733330538496.0	601676972032.0	79.0
8	-3927.7526041666665	3596.7963523113176	131.9162	-12628.973	186.25	0.9989999349836932	5.960464477539063e-08	0.999	0.999	6217303.751686909	-19.998844146728516	-4276625604608.0	3295140118528.0	79.0
9	-5132.897786458333	4215.393061941753	183.07895	-14933.258	183.41666666666666	0.9990000160604157	0.0	0.999	0.999	12015214.633165829	-25.411081314086914	-11154080399360.0	7424806748160.0	79.0
10	-3882.5244140625	2967.076338755038	124.39382	-10604.941	179.33333333333334	0.9989999361127336	5.960464477539063e-08	0.999	0.999	20661615.491588786	-39.90875244140625	-24693679587328.0	14882725429248.0	79.0
11	-4022.6744791666665	3191.073591546686	453.13992	-11038.294	191.16666666666666	0.999000007702947	0.0	0.999	0.999	39991911.65644172	-22.69435691833496	-66206723735552.0	38897513922560.0	79.0
12	-3189.4599609375	2680.6190827244864	-278.86566	-10607.548	183.25	0.9989999946416324	0.0	0.999	0.999	52367077.19433013	-19.361106872558594	-309043331596288.0	188352099778560.0	79.0
13	-2756.43359375	2843.322704161453	215.45308	-10870.031	173.16666666666666	0.9989998033639884	2.384185791015625e-07	0.999	0.999	80794658.69506292	-16.17742156982422	-1300989483155456.0	755692247973888.0	79.0
14	-3778.9423828125	3511.025491220478	361.41092	-11740.615	199.25	0.9989999367841005	5.960464477539063e-08	0.999	0.999	140683395.71248424	-15.445767402648926	-4249502651252736.0	2282114229731328.0	79.0
15	-4169.826497395833	4296.054313747286	576.9027	-14052.795	192.66666666666666	0.9990000849184782	5.960464477539063e-08	0.999	0.999	161950198.2052174	-16.06210708618164	-1.1761110810099712e+16	5826259502235648.0	79.0
16	-3850.990234375	3566.2475143115535	1178.8062	-13308.552	180.83333333333334	0.998999905873494	1.1920928955078125e-07	0.999	0.999	254986788.53753474	-18.359603881835938	-2.926843259571405e+16	1.3468305549426688e+16	79.0
17	-5431.896158854167	4030.8434187731314	164.40236	-15183.927	195.0	0.9990000511772444	5.960464477539063e-08	0.999	0.999	414082684.9209622	-17.667217254638672	-5.634925366398157e+16	2.325178470943949e+16	79.0
18	-3875.1878255208335	2967.9024018095115	-333.25372	-10289.36	188.5	0.999	0.0	0.999	0.999	424905685.21955556	-26.913410186767578	-1.179487183002665e+17	4.68678642499584e+16	79.0
19	-5162.382486979167	4511.077919965471	175.93152	-22160.74	197.75	0.998999964428473	5.960464477539063e-08	0.999	0.999	639859473.0232952	-17.319791793823242	-2.171535636656292e+17	8.056398292608614e+16	79.0
20	-4527.277994791667	2863.571429759232	-376.69034	-12165.722	174.5	0.9989997504652978	2.384185791015625e-07	0.999	0.999	655690575.9231508	-17.160411834716797	-3.922215330717368e+17	1.3751672673979597e+17	79.0
21	-3736.126953125	3674.003266193431	162.20343	-12013.291	179.08333333333334	0.998999903120613	1.1920928955078125e-07	0.999	0.999	1049212530.283575	-19.23123550415039	-6.107820077644513e+17	1.9591586091997594e+17	79.0
