Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.434782	10.18183	60.0	8.0	21.434782	0.1091976	0.009569205	0.17595255	0.067810535	4000	6.891787e-08	222.0111	-0.022843385	-106.830795	0.6917548	0.010490664	0.15550001	79.0	0.3057668209075928
1	28.912409	17.637253	120.0	9.0	28.912409	6.951771	1.3434887	15.06155	5.3073087	8000	1.4901161e-08	285.52798	-0.021762464	-130.49744	0.6841934	0.009939498	0.0865	79.0	0.5754709243774414
2	38.643566	20.281479	96.0	10.0	38.643566	16.872149	0.8237249	20.619034	13.54022	12000	2.7008355e-08	202.71605	-0.02363383	-51.378475	0.66327596	0.011333356	0.096	79.0	0.8432235717773438
3	83.195656	42.739155	167.0	17.0	83.195656	19.907972	6.5647264	27.241716	-16.780663	16000	9.685755e-08	678.1217	-0.019398179	-355.5813	0.6478578	0.0043630283	0.0915	79.0	1.1083984375
4	103.611115	57.334923	220.0	15.0	103.611115	37.154728	9.30731	48.856556	-4.278601	20000	1.5832484e-08	451.42328	-0.016192291	-139.51746	0.6215621	0.006884561	0.06575	79.0	1.3738455772399902
5	144.57692	77.05202	384.0	40.0	144.57692	47.68328	12.934412	63.29352	-0.1614877	24000	1.5832484e-08	451.46417	-0.013602598	-60.07312	0.60139215	0.006195491	0.070250005	79.0	1.6387271881103516
6	184.05	88.61629	421.0	32.0	184.05	51.471783	16.43449	68.917366	-7.327873	28000	2.9802322e-08	388.41504	-0.013760805	-71.45946	0.58959615	0.008624995	0.09775	79.0	1.9022407531738281
7	283.0909	143.33334	616.0	97.0	283.0909	57.315704	16.461363	77.2459	-14.270663	32000	1.3038516e-08	495.58618	-0.014319411	-288.31195	0.5769719	0.009266262	0.0995	79.0	2.1654903888702393
8	397.625	183.8042	718.0	118.0	397.625	77.29816	18.817154	95.19793	-2.124464	36000	0.0	228.70651	-0.0098505765	-38.356606	0.56436515	0.0074857874	0.05775	79.0	2.4293642044067383
9	549.8	312.3667	872.0	125.0	549.8	88.73515	6.296766	98.811714	66.40008	40000	-1.8626451e-09	390.73254	-0.008122869	-89.87331	0.5500493	0.0046715294	0.032750003	79.0	2.6937525272369385
