process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_percent_per_core,system_cpu_count,system_load_avg_1m
2025-07-20T13:12:45.775868,6458,python,0.0,0.0,32,7.32,0.19,90,2025-07-20T13:12:45.877143,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 11.1, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.30908203125
2025-07-20T13:12:46.377771,6458,python,109.7,3.428125,32,7.93,0.24,90,2025-07-20T13:12:46.478989,5.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.2, 0.0, 0.0, 0.0, 10.0, 0.0, 30.0, 0.0, 0.0, 50.0, 9.1, 18.2, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.30908203125
2025-07-20T13:12:46.980233,6458,python,106.2,3.31875,32,8.55,0.26,90,2025-07-20T13:12:47.080854,5.0,"[0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 36.4, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.30908203125
2025-07-20T13:12:47.581294,6458,python,104.8,3.275,32,9.17,0.27,90,2025-07-20T13:12:47.683014,4.4,"[0.0, 0.0, 9.1, 0.0, 20.0, 0.0, 9.1, 0.0, 0.0, 0.0, 10.0, 0.0, 90.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:48.187753,6458,python,103.8,3.24375,32,9.78,0.29,90,2025-07-20T13:12:48.288636,4.2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 45.5, 0.0, 0.0, 100.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:48.789490,6458,python,106.4,3.325,32,10.4,0.31,90,2025-07-20T13:12:48.890561,4.5,"[0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 0.0, 22.2, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:49.390967,6458,python,108.0,3.375,32,11.03,0.34,90,2025-07-20T13:12:49.493102,4.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:49.993755,6458,python,104.6,3.26875,32,11.64,0.35,90,2025-07-20T13:12:50.094473,4.2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 10.0, 0.0, 0.0, 90.9, 36.4, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:50.609558,6458,python,107.5,3.359375,32,12.28,0.37,90,2025-07-20T13:12:50.711664,4.9,"[0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:51.212155,6458,python,104.2,3.25625,32,12.9,0.38,90,2025-07-20T13:12:51.314037,4.7,"[10.0, 0.0, 45.5, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 63.6, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:51.814736,6458,python,107.9,3.371875,32,13.52,0.41,90,2025-07-20T13:12:51.916587,4.8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.1, 0.0, 0.0, 0.0, 0.0, 100.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.36474609375
2025-07-20T13:12:52.417067,6458,python,104.6,3.26875,32,14.13,0.43,90,2025-07-20T13:12:52.518171,4.4,"[10.0, 10.0, 9.1, 0.0, 20.0, 0.0, 0.0, 20.0, 10.0, 10.0, 20.0, 0.0, 90.9, 0.0, 54.5, 0.0, 0.0, 0.0, 9.1, 10.0, 10.0, 18.2, 9.1, 0.0, 0.0, 11.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:53.018581,6458,python,108.1,3.378125,32,14.76,0.45,90,2025-07-20T13:12:53.120370,5.6,"[9.1, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 9.1, 0.0, 0.0, 100.0, 30.0, 0.0, 10.0, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:53.631348,6458,python,105.9,3.309375,32,15.39,0.47,90,2025-07-20T13:12:53.733320,4.6,"[11.1, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 90.0, 10.0, 0.0, 30.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:54.234347,6458,python,106.3,3.321875,32,16.01,0.49,90,2025-07-20T13:12:54.336962,4.6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.7, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:54.837775,6458,python,106.1,3.315625,32,16.63,0.51,90,2025-07-20T13:12:54.952712,4.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 83.3, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:55.453429,6458,python,105.6,3.3,32,17.26,0.53,90,2025-07-20T13:12:55.554846,10.2,"[10.0, 0.0, 63.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0, 0.0, 30.0, 9.1, 10.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:56.055381,6458,python,108.0,3.375,32,17.88,0.56,90,2025-07-20T13:12:56.157082,7.4,"[27.3, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 22.2, 0.0, 0.0, 0.0, 77.8, 0.0, 20.0, 60.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:56.657428,6458,python,104.6,3.26875,32,18.49,0.58,90,2025-07-20T13:12:56.758405,7.2,"[0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 90.9, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 11.1, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.416015625
2025-07-20T13:12:57.258854,6458,python,106.4,3.325,32,19.11,0.6,90,2025-07-20T13:12:57.360023,7.1,"[20.0, 0.0, 18.2, 0.0, 18.2, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 70.0, 0.0, 33.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.462890625
