timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
1753277814.2242818,2025-07-23T09:36:54.224282,5.3,118.87311553955078,5.289745330810547,3.1,6.2,965.82421875,0.0,0,0,0,0
1753277844.371168,2025-07-23T09:37:24.371168,6.1,117.85296249389648,6.296272277832031,2.5,6.2,1970.515625,58.9,13748175,15446902,2179,3161
1753277874.5168738,2025-07-23T09:37:54.516874,6.0,117.96257400512695,6.18365478515625,4.1,6.2,1970.515625,0.4,76143,1567114,374,1259
