timestamp,interval_count,total_count,cpu_percent
2025-07-27T19:39:04.088973,1,1,0.0
2025-07-27T19:39:04.589415,1,2,14.6
2025-07-27T19:39:05.089871,1,3,19.7
2025-07-27T19:39:05.590636,1,4,15.3
2025-07-27T19:39:06.090984,1,5,19.6
2025-07-27T19:39:06.591394,1,6,20.8
2025-07-27T19:39:07.092089,1,7,18.1
2025-07-27T19:39:07.592677,1,8,16.7
2025-07-27T19:39:08.093039,2,10,18.3
2025-07-27T19:39:08.593621,1,11,20.7
2025-07-27T19:39:09.094053,1,12,18.0
2025-07-27T19:39:09.594746,1,13,14.7
2025-07-27T19:39:10.095294,1,14,19.4
2025-07-27T19:39:10.595795,1,15,18.6
2025-07-27T19:39:11.096225,1,16,18.8
2025-07-27T19:39:11.596656,1,17,18.7
2025-07-27T19:39:12.097171,1,18,12.5
2025-07-27T19:39:12.597728,1,19,20.1
2025-07-27T19:39:13.098075,1,20,20.4
2025-07-27T19:39:13.598774,1,21,17.1
2025-07-27T19:39:14.099309,1,22,16.8
2025-07-27T19:39:14.600020,2,24,17.8
2025-07-27T19:39:15.100567,1,25,18.3
2025-07-27T19:39:15.601013,1,26,19.5
2025-07-27T19:39:16.101444,1,27,18.2
2025-07-27T19:39:16.601919,1,28,20.0
2025-07-27T19:39:17.102407,1,29,20.1
2025-07-27T19:39:17.602992,1,30,11.5
2025-07-27T19:39:18.103416,1,31,21.5
2025-07-27T19:39:18.603945,1,32,18.7
2025-07-27T19:39:19.104494,1,33,17.3
2025-07-27T19:39:19.605202,1,34,19.8
2025-07-27T19:39:20.105822,1,35,16.5
2025-07-27T19:39:20.606526,1,36,16.6
2025-07-27T19:39:21.107231,1,37,16.7
2025-07-27T19:39:21.608324,1,38,16.9
2025-07-27T19:39:22.108793,1,39,15.5
2025-07-27T19:39:22.609275,1,40,17.4
2025-07-27T19:39:23.110009,1,41,16.3
2025-07-27T19:39:23.610554,1,42,17.5
2025-07-27T19:39:24.111205,1,43,11.8
2025-07-27T19:39:24.611699,1,44,19.2
2025-07-27T19:39:25.112262,1,45,13.2
2025-07-27T19:39:25.612700,1,46,20.4
2025-07-27T19:39:26.113098,1,47,15.3
2025-07-27T19:39:26.613495,1,48,9.0
2025-07-27T19:39:27.113896,1,49,19.2
