timestamp,steps_per_sec
2025-07-28T01:12:24.949228,246.3
2025-07-28T01:12:25.826720,267.1
2025-07-28T01:12:26.789543,266.7
2025-07-28T01:12:28.130051,222.2
2025-07-28T01:12:29.225811,229.1
2025-07-28T01:12:30.470454,224.8
2025-07-28T01:12:31.390517,231.2
2025-07-28T01:12:32.692645,226.2
2025-07-28T01:12:34.299379,216.1
2025-07-28T01:12:35.309889,219.3
2025-07-28T01:12:36.448163,219.8
2025-07-28T01:12:37.421164,222.9
2025-07-28T01:12:38.574768,222.8
2025-07-28T01:12:39.804763,221.7
2025-07-28T01:12:40.679208,225.3
2025-07-28T01:12:41.903870,224.2
2025-07-28T01:12:42.838738,226.7
2025-07-28T01:12:43.705511,229.6
2025-07-28T01:12:44.669867,231.3
2025-07-28T01:12:45.771226,231.3
2025-07-28T01:12:46.727655,232.8
2025-07-28T01:12:47.689990,234.2
2025-07-28T01:12:49.192954,230.4
2025-07-28T01:12:50.451280,229.1
2025-07-28T01:12:51.364701,230.8
2025-07-28T01:12:52.468307,230.9
2025-07-28T01:12:53.416775,232.1
2025-07-28T01:12:54.282422,233.9
2025-07-28T01:12:55.124431,235.8
2025-07-28T01:12:56.001733,237.3
2025-07-28T01:12:56.799952,239.3
2025-07-28T01:12:57.640998,240.9
2025-07-28T01:12:58.573277,241.8
2025-07-28T01:12:59.900709,240.0
2025-07-28T01:13:01.280614,238.0
2025-07-28T01:13:02.572644,236.7
2025-07-28T01:13:04.103103,234.1
2025-07-28T01:13:05.022024,235.1
2025-07-28T01:13:05.975791,235.8
2025-07-28T01:13:06.915070,236.0
2025-07-28T01:13:07.868371,236.7
2025-07-28T01:13:09.284057,235.0
2025-07-28T01:13:10.275443,236.0
2025-07-28T01:13:11.139702,236.6
2025-07-28T01:13:12.463343,235.9
2025-07-28T01:13:13.495508,235.6
2025-07-28T01:13:14.407074,236.5
2025-07-28T01:13:16.008280,234.1
2025-07-28T01:13:16.913228,234.9
2025-07-28T01:13:18.057177,234.7
2025-07-28T01:13:19.155725,234.7
2025-07-28T01:13:20.054098,235.5
2025-07-28T01:13:21.042472,235.9
2025-07-28T01:13:22.111491,235.9
2025-07-28T01:13:23.369016,235.3
2025-07-28T01:13:24.193953,236.3
2025-07-28T01:13:25.190403,236.6
2025-07-28T01:13:26.475185,235.9
2025-07-28T01:13:27.448619,236.3
2025-07-28T01:13:28.514662,236.3
2025-07-28T01:13:29.600553,236.3
2025-07-28T01:13:31.248142,234.4
2025-07-28T01:13:32.109421,235.1
2025-07-28T01:13:33.113138,235.4
2025-07-28T01:13:34.017855,236.0
2025-07-28T01:13:35.407951,235.0
2025-07-28T01:13:36.557987,234.8
2025-07-28T01:13:37.706277,234.7
2025-07-28T01:13:38.902736,234.3
2025-07-28T01:13:39.809346,234.9
2025-07-28T01:13:40.847058,235.1
2025-07-28T01:13:41.775036,235.5
2025-07-28T01:13:42.976310,235.2
2025-07-28T01:13:43.893309,235.7
2025-07-28T01:13:44.848261,236.1
2025-07-28T01:13:46.314905,235.0
2025-07-28T01:13:47.613347,234.4
2025-07-28T01:13:48.558045,234.8
2025-07-28T01:13:49.493757,235.2
2025-07-28T01:13:50.490599,235.5
2025-07-28T01:13:51.400230,236.0
2025-07-28T01:13:52.324911,236.4
2025-07-28T01:13:53.238879,236.8
2025-07-28T01:13:54.170701,237.2
2025-07-28T01:13:55.146687,237.5
2025-07-28T01:13:56.073933,238.9
2025-07-28T01:13:57.454313,237.1
2025-07-28T01:13:58.386547,237.5
2025-07-28T01:13:59.438442,237.5
2025-07-28T01:14:00.367153,237.9
2025-07-28T01:14:01.949050,236.7
2025-07-28T01:14:02.768406,237.3
2025-07-28T01:14:04.515709,235.7
2025-07-28T01:14:05.626624,235.7
2025-07-28T01:14:06.542123,236.1
2025-07-28T01:14:07.562077,236.2
2025-07-28T01:14:08.523648,236.5
2025-07-28T01:14:09.504929,236.7
2025-07-28T01:14:10.276492,237.4
2025-07-28T01:14:10.912035,238.4
